4096
382	1 7	1 9	1 40	1 42
383	1 7	1 9	1 42	1 44
384	1 7	1 9	1 44	1 46
385	1 7	1 9	1 46	1 48
386	1 7	1 9	1 31	1 33
387	1 7	1 9	1 35	1 37
388	1 7	1 9	1 37	1 39
389	1 7	1 9	1 39	1 41
390	1 7	1 9	1 41	1 43
391	1 7	1 9	1 43	1 45
392	1 7	1 9	1 45	1 47
393	1 7	1 9	1 47	1 49
394	1 7	1 9	1 49	1 51
395	1 7	1 9	1 48	1 50
396	1 7	1 9	1 50	1 52
397	1 7	1 9	1 52	1 54
398	1 7	1 9	1 54	1 56
399	1 7	1 9	1 56	1 58
400	1 7	1 9	1 58	1 60
401	1 7	1 9	1 60	1 62
402	1 7	1 9	1 62	1 64
403	1 7	1 9	1 64	1 66
404	1 7	1 9	1 66	1 68
405	1 7	1 9	1 55	1 57
406	1 7	1 9	1 57	1 59
407	1 7	1 9	1 63	1 65
408	1 7	1 9	1 65	1 67
409	1 7	1 9	1 67	1 69
410	1 7	1 9	1 69	1 71
411	1 7	1 9	1 68	1 70
412	1 7	1 9	1 70	1 72
413	1 7	1 9	1 72	1 2
414	1 7	1 9	1 2	1 4
415	1 7	1 9	1 4	1 6
416	1 7	1 9	1 71	1 1
417	1 8	1 10	1 11	1 13
418	1 8	1 10	1 13	1 15
419	1 8	1 10	1 15	1 17
420	1 8	1 10	1 19	1 21
421	1 8	1 10	1 25	1 27
422	1 8	1 10	1 27	1 29
423	1 8	1 10	1 12	1 14
424	1 8	1 10	1 14	1 16
425	1 8	1 10	1 16	1 18
426	1 8	1 10	1 22	1 24
427	1 8	1 10	1 24	1 26
428	1 8	1 10	1 28	1 30
429	1 8	1 10	1 30	1 32
430	1 8	1 10	1 29	1 31
431	1 8	1 10	1 31	1 33
432	1 8	1 10	1 33	1 35
433	1 8	1 10	1 35	1 37
434	1 8	1 10	1 37	1 39
435	1 8	1 10	1 39	1 41
436	1 8	1 10	1 45	1 47
437	1 8	1 10	1 47	1 49
438	1 8	1 10	1 32	1 34
439	1 8	1 10	1 34	1 36
440	1 8	1 10	1 36	1 38
441	1 8	1 10	1 38	1 40
442	1 8	1 10	1 40	1 42
443	1 8	1 10	1 42	1 44
444	1 8	1 10	1 48	1 50
445	1 8	1 10	1 50	1 52
446	1 8	1 10	1 49	1 51
447	1 8	1 10	1 51	1 53
448	1 8	1 10	1 53	1 55
449	1 8	1 10	1 55	1 57
450	1 8	1 10	1 57	1 59
451	1 8	1 10	1 61	1 63
452	1 8	1 10	1 63	1 65
453	1 8	1 10	1 65	1 67
454	1 8	1 10	1 67	1 69
455	1 8	1 10	1 52	1 54
456	1 8	1 10	1 54	1 56
457	1 8	1 10	1 56	1 58
458	1 8	1 10	1 58	1 60
459	1 8	1 10	1 64	1 66
460	1 8	1 10	1 66	1 68
461	1 8	1 10	1 68	1 70
462	1 8	1 10	1 70	1 72
463	1 8	1 10	1 1	1 3
464	1 8	1 10	1 3	1 5
465	1 8	1 10	1 5	1 7
466	1 9	1 11	1 10	1 12
467	1 9	1 11	1 12	1 14
468	1 9	1 11	1 14	1 16
