,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,25.00,17.00,364154.00,0.10,0.00,-101.27,-499.055,8.033
,Mixed / non conventional,72.00,65.00,28.00,27.00,-884684.81,0.18,0.00,13.39,232.712,8.016
,Mixed / non conventional,72.00,65.00,27.00,26.00,-871376.44,0.17,0.00,-19.82,213.075,8.016
,Mixed / non conventional,72.00,65.00,26.00,18.00,381388.72,0.21,0.00,-324.20,-555.214,7.997
,Mixed / non conventional,72.00,65.00,18.00,9.00,176785.52,0.21,0.00,38.24,-174.138,7.997
,Mixed / non conventional,72.00,65.00,30.00,29.00,-13209.00,0.47,0.00,-36.15,4.039,8.008
,Mixed / non conventional,72.00,65.00,29.00,28.00,-647471.75,0.20,0.00,66.45,183.364,8.008
,Mixed / non conventional,72.00,65.00,28.00,20.00,432182.22,0.05,0.00,-69.32,-721.005,8.012
,Mixed / non conventional,72.00,65.00,20.00,11.00,333662.47,0.05,0.00,-46.90,-368.619,8.012
,Mixed / non conventional,72.00,65.00,11.00,3.00,1251830.13,0.54,0.00,-165.64,-777.469,7.983
,Mixed / non conventional,72.00,65.00,32.00,24.00,144355.72,0.31,0.00,-151.54,-320.363,7.986
,Mixed / non conventional,72.00,65.00,34.00,33.00,-415738.81,0.23,0.00,-149.06,176.267,7.993
,Mixed / non conventional,72.00,65.00,33.00,25.00,261244.59,0.21,0.00,135.68,-626.617,7.993
,Mixed / non conventional,72.00,65.00,36.00,35.00,-505356.06,0.21,0.00,27.07,256.298,7.993
,Mixed / non conventional,72.00,65.00,35.00,34.00,-473427.25,0.20,0.00,-181.07,219.244,7.993
,Mixed / non conventional,72.00,65.00,34.00,26.00,243432.69,0.23,0.00,184.63,-632.638,8.003
,Mixed / non conventional,72.00,65.00,26.00,17.00,198361.67,0.24,0.00,-298.21,-315.911,8.003
,Mixed / non conventional,72.00,65.00,38.00,37.00,-164923.48,0.33,0.00,-114.56,101.163,7.989
,Mixed / non conventional,72.00,65.00,37.00,36.00,-317930.06,0.30,0.00,138.64,177.013,7.989
,Mixed / non conventional,72.00,65.00,36.00,28.00,197121.38,0.06,0.00,36.96,-601.565,7.972
,Mixed / non conventional,72.00,65.00,28.00,19.00,213714.17,0.05,0.00,-183.56,-387.366,7.972
,Mixed / non conventional,72.00,65.00,19.00,11.00,738476.06,0.31,0.00,67.16,-701.067,7.994
,Mixed / non conventional,72.00,65.00,11.00,2.00,-149288.20,0.34,0.00,-185.74,102.149,7.994
,Mixed / non conventional,72.00,65.00,42.00,41.00,-336218.03,1.04,0.00,-147.24,314.481,7.982
,Mixed / non conventional,72.00,65.00,41.00,33.00,189525.67,1.04,0.00,-67.95,-914.776,7.982
,Mixed / non conventional,72.00,65.00,44.00,43.00,-229074.44,0.08,0.00,66.34,272.474,8.011
,Mixed / non conventional,72.00,65.00,43.00,42.00,-317659.16,0.00,0.00,-107.36,334.868,8.011
,Mixed / non conventional,72.00,65.00,42.00,34.00,145747.91,0.28,0.00,-66.89,-775.579,7.956
,Mixed / non conventional,72.00,65.00,34.00,25.00,160012.14,0.28,0.00,-13.06,-449.557,7.956
,Mixed / non conventional,72.00,65.00,46.00,45.00,-134856.70,1.04,0.00,235.72,205.936,7.949
,Mixed / non conventional,72.00,65.00,45.00,44.00,-167194.00,1.03,0.00,-78.72,223.828,7.949
,Mixed / non conventional,72.00,65.00,44.00,36.00,96891.86,0.24,0.00,46.84,-642.321,8.011
,Mixed / non conventional,72.00,65.00,36.00,27.00,110710.34,0.22,0.00,51.29,-368.590,8.011
,Mixed / non conventional,72.00,65.00,27.00,19.00,398367.84,0.39,0.00,-198.55,-617.121,7.963
,Mixed / non conventional,72.00,65.00,19.00,10.00,208424.91,0.37,0.00,-47.68,-216.178,7.963
,Mixed / non conventional,72.00,65.00,10.00,3.00,2381704.25,0.24,0.00,-47.67,-1257.302,7.964
,Mixed / non conventional,72.00,65.00,51.00,50.00,-165441.33,0.37,0.00,-132.27,543.363,7.945
,Mixed / non conventional,72.00,65.00,50.00,49.00,-162528.22,0.36,0.00,-250.07,450.149,7.945
,Mixed / non conventional,72.00,65.00,49.00,41.00,95866.30,0.30,0.00,128.40,-1169.116,7.971
,Mixed / non conventional,72.00,65.00,53.00,52.00,-73037.17,0.14,0.00,143.07,348.963,7.945
,Mixed / non conventional,72.00,65.00,55.00,47.00,12183.96,0.42,0.00,24.39,-395.123,7.953
,Mixed / non conventional,72.00,65.00,47.00,40.00,54865.57,0.41,0.00,-2.89,-472.620,7.953
,Mixed / non conventional,72.00,65.00,40.00,32.00,61817.36,0.81,0.00,-42.44,-268.149,7.907
,Mixed / non conventional,72.00,65.00,32.00,31.00,165847.45,0.80,0.00,18.48,-58.753,7.907
,Mixed / non conventional,72.00,65.00,31.00,24.00,141660.55,0.44,0.00,-171.43,-260.003,7.874
,Mixed / non conventional,72.00,65.00,24.00,23.00,502726.91,0.44,0.00,199.48,-97.995,7.874
,Mixed / non conventional,72.00,65.00,23.00,16.00,190670.66,1.18,0.00,-300.56,-205.669,7.970
,Mixed / non conventional,72.00,65.00,16.00,7.00,646594.25,1.15,0.00,-35.22,-569.431,7.970
,Mixed / non conventional,72.00,65.00,59.00,58.00,-40054.30,0.46,0.00,-235.16,924.946,7.922
,Mixed / non conventional,72.00,65.00,58.00,57.00,-59017.96,0.47,0.00,-97.72,974.445,7.922
,Mixed / non conventional,72.00,65.00,57.00,49.00,39050.59,0.21,0.00,-48.93,-1922.913,7.870
,Mixed / non conventional,72.00,65.00,61.00,60.00,-8655.78,1.20,0.00,-276.09,463.963,7.939
,Mixed / non conventional,72.00,65.00,63.00,56.00,1256.85,0.91,0.00,-34.79,-543.277,7.982
,Mixed / non conventional,72.00,65.00,56.00,55.00,-9754.27,0.92,0.00,-3.58,92.121,7.982
,Mixed / non conventional,72.00,65.00,55.00,54.00,-33086.63,0.58,0.00,-125.59,243.817,7.952
,Mixed / non conventional,72.00,65.00,54.00,53.00,-44740.61,0.59,0.00,-137.78,263.385,7.952
,Mixed / non conventional,72.00,65.00,53.00,45.00,24954.74,0.35,0.00,268.14,-558.795,7.931
