,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2636732.00,0.18,0.00,9.75,50.707,1.134
,Mixed / non conventional,72.00,65.00,17.00,9.00,575314.81,0.19,0.00,3.58,-69.293,1.134
,Mixed / non conventional,72.00,65.00,20.00,19.00,-2891873.00,0.29,0.00,-103.26,57.294,1.035
,Mixed / non conventional,72.00,65.00,19.00,18.00,-2716071.50,0.30,0.00,-92.13,50.626,1.035
,Mixed / non conventional,72.00,65.00,18.00,10.00,613376.63,0.21,0.00,80.93,-82.149,1.193
,Mixed / non conventional,72.00,65.00,10.00,1.00,-173952.06,0.18,0.00,47.24,16.922,1.193
,Mixed / non conventional,72.00,65.00,22.00,21.00,730367.19,0.14,0.00,-88.39,-18.979,1.197
,Mixed / non conventional,72.00,65.00,21.00,20.00,-881326.13,0.05,0.00,137.04,21.490,1.197
,Mixed / non conventional,72.00,65.00,20.00,12.00,1258961.38,0.27,0.00,-5.82,-48.348,0.305
,Mixed / non conventional,72.00,65.00,12.00,4.00,3181005.50,0.27,0.00,-47.75,-79.416,0.305
,Mixed / non conventional,72.00,65.00,24.00,16.00,264182.56,0.29,0.00,101.23,-50.182,1.187
,Mixed / non conventional,72.00,65.00,16.00,15.00,2795227.75,0.30,0.00,101.59,-50.083,1.187
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1314665.75,0.38,0.00,-133.88,44.832,1.200
,Mixed / non conventional,72.00,65.00,25.00,17.00,434748.16,0.39,0.00,-30.01,-89.032,1.200
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1203433.50,0.37,0.00,43.94,47.105,1.193
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1225690.50,0.36,0.00,-96.98,44.599,1.193
,Mixed / non conventional,72.00,65.00,26.00,18.00,448967.06,0.48,0.00,-173.27,-97.389,1.192
,Mixed / non conventional,72.00,65.00,18.00,9.00,131818.28,0.47,0.00,12.85,-19.348,1.192
,Mixed / non conventional,72.00,65.00,30.00,29.00,-13377.97,1.72,0.00,0.84,0.607,1.189
,Mixed / non conventional,72.00,65.00,29.00,28.00,-788956.00,0.06,0.00,88.04,33.164,1.189
,Mixed / non conventional,72.00,65.00,28.00,20.00,521825.56,0.18,0.00,-30.30,-117.891,1.085
,Mixed / non conventional,72.00,65.00,20.00,11.00,339624.22,0.22,0.00,-10.81,-50.811,1.085
,Mixed / non conventional,72.00,65.00,11.00,3.00,1370339.63,0.58,0.00,-47.84,-49.556,0.465
,Mixed / non conventional,72.00,65.00,32.00,24.00,178600.70,0.23,0.00,-172.92,-50.637,1.020
,Mixed / non conventional,72.00,65.00,34.00,33.00,-695026.31,0.09,0.00,-60.37,43.376,1.176
,Mixed / non conventional,72.00,65.00,33.00,25.00,330317.56,0.09,0.00,-9.55,-116.623,1.176
,Mixed / non conventional,72.00,65.00,36.00,35.00,-707895.81,0.02,0.00,193.96,52.789,1.175
,Mixed / non conventional,72.00,65.00,35.00,34.00,-686246.25,0.05,0.00,-273.65,46.729,1.175
,Mixed / non conventional,72.00,65.00,34.00,26.00,306213.09,0.43,0.00,64.01,-117.529,1.182
,Mixed / non conventional,72.00,65.00,26.00,17.00,184896.92,0.42,0.00,-163.51,-43.489,1.182
,Mixed / non conventional,72.00,65.00,38.00,37.00,-203652.52,0.06,0.00,4.16,18.388,1.176
,Mixed / non conventional,72.00,65.00,37.00,36.00,-465554.06,0.08,0.00,111.65,38.155,1.176
,Mixed / non conventional,72.00,65.00,36.00,28.00,241627.84,0.61,0.00,37.74,-87.712,0.948
