,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,68.00,1309.68,0.74,0.00,-65.01,49.345,0.258,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,69.00,908.78,0.35,0.00,-160.87,49.837,0.459,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,439.80,0.30,0.00,-166.80,40.595,1.087,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-221.30,0.42,0.00,36.37,-46.512,1.080,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,438.95,0.83,0.00,-167.18,40.394,1.084,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-50.34,0.51,0.00,-318.09,-9.144,1.070,MA72B65Rec
,Mixed / non conventional,72.00,65.00,2.00,1.00,-11092056.00,0.47,0.00,7.20,50.476,0.611,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,3.00,-37022488.00,0.69,0.00,-16.01,101.919,0.337,MA72B65Rec
,Mixed / non conventional,72.00,65.00,3.00,2.00,-19021804.00,0.71,0.00,-14.90,50.009,0.337,MA72B65Rec
,Mixed / non conventional,72.00,65.00,6.00,5.00,28562156.00,0.96,0.00,4.70,-49.367,0.193,MA72B65Rec
,Mixed / non conventional,72.00,65.00,8.00,7.00,8226823.00,0.89,0.00,-19.01,-50.079,0.616,MA72B65Rec
,Mixed / non conventional,72.00,65.00,7.00,6.00,18246806.00,0.90,0.00,34.65,-105.762,0.616,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,9.00,-5365845.50,0.87,0.00,-25.57,64.173,1.094,MA72B65Rec
,Mixed / non conventional,72.00,65.00,9.00,1.00,592506.44,0.88,0.00,99.96,-45.786,1.094,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,13.00,4642913.00,0.27,0.00,151.50,-68.679,1.095,MA72B65Rec
,Mixed / non conventional,72.00,65.00,13.00,12.00,-1136287.00,0.27,0.00,13.46,15.919,1.095,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,11.00,-9526513.00,0.28,0.00,-71.59,126.523,1.095,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,10.00,-8088173.50,0.28,0.00,-93.46,101.936,1.095,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,2.00,896136.38,0.28,0.00,69.54,-72.723,1.095,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,8.00,380852.09,1.43,0.00,59.68,-41.978,1.096,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2862578.25,0.36,0.00,36.52,50.597,1.042,MA72B65Rec
,Mixed / non conventional,72.00,65.00,17.00,9.00,605999.50,0.36,0.00,63.82,-67.085,1.042,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,19.00,-3075278.75,0.94,0.00,-237.38,63.614,1.081,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,18.00,-3008965.00,0.95,0.00,-104.20,58.558,1.081,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,10.00,673426.94,0.96,0.00,126.64,-81.706,1.081,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,1.00,-208588.38,0.99,0.00,74.72,18.382,1.081,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,21.00,454498.50,0.57,0.00,-53.21,-10.829,1.098,MA72B65Rec
,Mixed / non conventional,72.00,65.00,21.00,20.00,-1139642.38,0.67,0.00,191.27,25.480,1.098,MA72B65Rec
