,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,70.00,443.13,0.07,0.00,167.10,47.698,1.268,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-50.73,0.05,0.00,183.97,-40.592,4.713,MA72B65Rec
,Mixed / non conventional,72.00,65.00,2.00,1.00,-11762766.00,0.16,0.00,13.02,47.866,0.546,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,3.00,-49106188.00,0.80,0.00,-1.15,120.245,0.300,MA72B65Rec
,Mixed / non conventional,72.00,65.00,3.00,2.00,-20701168.00,0.71,0.00,-7.81,48.409,0.300,MA72B65Rec
,Mixed / non conventional,72.00,65.00,6.00,5.00,35927472.00,2.37,0.00,-19.32,-56.540,0.175,MA72B65Rec
,Mixed / non conventional,72.00,65.00,8.00,7.00,8428274.00,0.35,0.00,-22.31,-46.547,0.559,MA72B65Rec
,Mixed / non conventional,72.00,65.00,7.00,6.00,19124308.00,0.36,0.00,25.02,-100.567,0.559,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,9.00,-5576913.50,0.07,0.00,-31.90,63.703,1.045,MA72B65Rec
,Mixed / non conventional,72.00,65.00,9.00,1.00,638238.94,0.08,0.00,75.00,-47.106,1.045,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,13.00,4125555.50,0.03,0.00,116.80,-263.131,4.723,MA72B65Rec
,Mixed / non conventional,72.00,65.00,13.00,12.00,-210107.23,0.16,0.00,11.84,12.692,4.723,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,11.00,-8925878.00,0.09,0.00,-54.40,511.148,4.723,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,10.00,-8320137.50,0.07,0.00,-49.88,452.135,4.723,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,2.00,1017227.69,0.07,0.00,28.64,-355.939,4.723,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,8.00,385547.28,0.31,0.00,70.05,-47.898,1.235,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2904419.00,0.22,0.00,26.05,47.523,0.965,MA72B65Rec
,Mixed / non conventional,72.00,65.00,17.00,9.00,643621.44,0.24,0.00,56.28,-65.956,0.965,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,19.00,-2855263.00,0.13,0.00,-173.54,169.253,3.097,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,18.00,-2918626.25,0.12,0.00,-81.61,162.769,3.097,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,10.00,720297.25,0.12,0.00,115.68,-250.436,3.097,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,1.00,-196480.22,0.13,0.00,43.45,49.620,3.097,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,21.00,410957.00,0.07,0.00,-81.39,-42.226,4.734,MA72B65Rec
,Mixed / non conventional,72.00,65.00,21.00,20.00,-968502.88,0.03,0.00,149.84,93.379,4.734,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,12.00,1413011.38,0.06,0.00,-31.54,-841.193,4.734,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,4.00,5950662.00,0.04,0.00,-63.28,-2302.977,4.734,MA72B65Rec
,Mixed / non conventional,72.00,65.00,24.00,16.00,354176.22,0.28,0.00,-43.85,-47.911,0.845,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,15.00,3846065.50,0.30,0.00,161.24,-49.074,0.845,MA72B65Rec
