3406
238	1 5	1 7	1 12	1 14
239	1 5	1 7	1 14	1 16
240	1 5	1 7	1 20	1 22
241	1 5	1 7	1 22	1 24
242	1 5	1 7	1 24	1 26
243	1 5	1 7	1 9	1 11
244	1 5	1 7	1 11	1 13
245	1 5	1 7	1 13	1 15
246	1 5	1 7	1 15	1 17
247	1 5	1 7	1 19	1 21
248	1 5	1 7	1 21	1 23
249	1 5	1 7	1 27	1 29
250	1 5	1 7	1 26	1 28
251	1 5	1 7	1 28	1 30
252	1 5	1 7	1 30	1 32
253	1 5	1 7	1 34	1 36
254	1 5	1 7	1 36	1 38
255	1 5	1 7	1 38	1 40
256	1 5	1 7	1 42	1 44
257	1 5	1 7	1 44	1 46
258	1 5	1 7	1 29	1 31
259	1 5	1 7	1 35	1 37
260	1 5	1 7	1 37	1 39
261	1 5	1 7	1 41	1 43
262	1 5	1 7	1 43	1 45
263	1 5	1 7	1 45	1 47
264	1 5	1 7	1 46	1 48
265	1 5	1 7	1 50	1 52
266	1 5	1 7	1 52	1 54
267	1 5	1 7	1 54	1 56
268	1 5	1 7	1 56	1 58
269	1 5	1 7	1 58	1 60
270	1 5	1 7	1 60	1 62
271	1 5	1 7	1 62	1 64
272	1 5	1 7	1 64	1 66
273	1 5	1 7	1 49	1 51
274	1 5	1 7	1 51	1 53
275	1 5	1 7	1 53	1 55
276	1 5	1 7	1 55	1 57
277	1 5	1 7	1 57	1 59
278	1 5	1 7	1 59	1 61
279	1 5	1 7	1 61	1 63
280	1 5	1 7	1 63	1 65
281	1 5	1 7	1 65	1 67
282	1 5	1 7	1 67	1 69
283	1 5	1 7	1 66	1 68
284	1 5	1 7	1 68	1 70
285	1 5	1 7	1 70	1 72
286	1 5	1 7	1 2	1 4
287	1 5	1 7	1 4	1 6
288	1 5	1 7	1 69	1 71
289	1 5	1 7	1 1	1 3
290	1 6	1 8	1 7	1 9
291	1 6	1 8	1 9	1 11
292	1 6	1 8	1 11	1 13
293	1 6	1 8	1 13	1 15
294	1 6	1 8	1 17	1 19
295	1 6	1 8	1 19	1 21
296	1 6	1 8	1 21	1 23
297	1 6	1 8	1 23	1 25
298	1 6	1 8	1 10	1 12
299	1 6	1 8	1 12	1 14
300	1 6	1 8	1 14	1 16
301	1 6	1 8	1 16	1 18
302	1 6	1 8	1 20	1 22
303	1 6	1 8	1 22	1 24
304	1 6	1 8	1 24	1 26
305	1 6	1 8	1 26	1 28
306	1 6	1 8	1 28	1 30
307	1 6	1 8	1 27	1 29
308	1 6	1 8	1 29	1 31
309	1 6	1 8	1 35	1 37
310	1 6	1 8	1 37	1 39
311	1 6	1 8	1 41	1 43
312	1 6	1 8	1 43	1 45
313	1 6	1 8	1 45	1 47
314	1 6	1 8	1 30	1 32
315	1 6	1 8	1 34	1 36
316	1 6	1 8	1 36	1 38
317	1 6	1 8	1 38	1 40
318	1 6	1 8	1 42	1 44
319	1 6	1 8	1 44	1 46
320	1 6	1 8	1 46	1 48
321	1 6	1 8	1 49	1 51
322	1 6	1 8	1 51	1 53
323	1 6	1 8	1 53	1 55
324	1 6	1 8	1 55	1 57
325	1 6	1 8	1 57	1 59
326	1 6	1 8	1 59	1 61
327	1 6	1 8	1 61	1 63
328	1 6	1 8	1 63	1 65
329	1 6	1 8	1 65	1 67
330	1 6	1 8	1 50	1 52
331	1 6	1 8	1 52	1 54
332	1 6	1 8	1 54	1 56
333	1 6	1 8	1 56	1 58
334	1 6	1 8	1 58	1 60
335	1 6	1 8	1 60	1 62
336	1 6	1 8	1 62	1 64
337	1 6	1 8	1 64	1 66
338	1 6	1 8	1 66	1 68
339	1 6	1 8	1 68	1 70
340	1 6	1 8	1 67	1 69
341	1 6	1 8	1 69	1 71
342	1 6	1 8	1 1	1 3
343	1 6	1 8	1 3	1 5
344	1 6	1 8	1 5	1 7
345	1 6	1 8	1 70	1 72
346	1 6	1 8	1 2	1 4
347	1 7	1 9	1 16	1 18
348	1 7	1 9	1 17	1 19
349	1 7	1 9	1 32	1 34
350	1 7	1 9	1 40	1 42
351	1 7	1 9	1 42	1 44
352	1 7	1 9	1 33	1 35
353	1 7	1 9	1 35	1 37
354	1 7	1 9	1 37	1 39
355	1 7	1 9	1 41	1 43
356	1 7	1 9	1 43	1 45
357	1 7	1 9	1 45	1 47
358	1 7	1 9	1 47	1 49
359	1 7	1 9	1 49	1 51
360	1 7	1 9	1 48	1 50
361	1 7	1 9	1 50	1 52
362	1 7	1 9	1 52	1 54
363	1 7	1 9	1 54	1 56
364	1 7	1 9	1 56	1 58
365	1 7	1 9	1 58	1 60
366	1 7	1 9	1 60	1 62
367	1 7	1 9	1 62	1 64
368	1 7	1 9	1 64	1 66
369	1 7	1 9	1 66	1 68
370	1 7	1 9	1 51	1 53
371	1 7	1 9	1 53	1 55
372	1 7	1 9	1 55	1 57
373	1 7	1 9	1 59	1 61
374	1 7	1 9	1 61	1 63
375	1 7	1 9	1 63	1 65
376	1 7	1 9	1 65	1 67
377	1 7	1 9	1 67	1 69
378	1 7	1 9	1 69	1 71
379	1 7	1 9	1 68	1 70
380	1 7	1 9	1 70	1 72
381	1 7	1 9	1 2	1 4
382	1 7	1 9	1 4	1 6
383	1 7	1 9	1 6	1 8
384	1 8	1 10	1 15	1 17
385	1 8	1 10	1 33	1 35
386	1 8	1 10	1 39	1 41
387	1 8	1 10	1 41	1 43
388	1 8	1 10	1 47	1 49
389	1 8	1 10	1 40	1 42
390	1 8	1 10	1 44	1 46
391	1 8	1 10	1 48	1 50
392	1 8	1 10	1 49	1 51
393	1 8	1 10	1 51	1 53
394	1 8	1 10	1 53	1 55
395	1 8	1 10	1 55	1 57
396	1 8	1 10	1 57	1 59
397	1 8	1 10	1 59	1 61
398	1 8	1 10	1 61	1 63
399	1 8	1 10	1 63	1 65
400	1 8	1 10	1 65	1 67
401	1 8	1 10	1 67	1 69
402	1 8	1 10	1 52	1 54
403	1 8	1 10	1 54	1 56
404	1 8	1 10	1 56	1 58
405	1 8	1 10	1 58	1 60
406	1 8	1 10	1 60	1 62
407	1 8	1 10	1 62	1 64
408	1 8	1 10	1 64	1 66
409	1 8	1 10	1 66	1 68
410	1 8	1 10	1 68	1 70
411	1 8	1 10	1 70	1 72
412	1 8	1 10	1 1	1 3
413	1 8	1 10	1 3	1 5
414	1 8	1 10	1 5	1 7
