PRD_MALM_1_130522,PRD_MALM_2_170522,PRD_MALM_3_190522,PRD_MALM_4_190522,PRD_MALM_5_230522,PRD_MALM_7_010622,PRD_MALM2_7_010622,PRD_MALM_8_010622,PRD_MALM2_8_010622,PRD_MALM_9_060622,PRD_MALM2_9_060622,PRD_MALM_10_080622,PRD_MALM2_10_080622,PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
2022-05-13 17:15:00,2022-05-17 17:15:00,2022-05-19 16:46:00,2022-05-19 18:55:00,2022-05-23 08:20:00,2022-06-01 15:20:00,2022-06-01 15:40:00,2022-06-01 16:15:00,2022-06-01 16:25:00,2022-06-06 12:00:00,2022-06-06 12:15:00,2022-06-08 11:30:00,2022-06-08 11:40:00,2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
Stem,Stem,Stem,Stem,Stem,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
1.5928569228161042e-35,9.537016516255855e-32,1.2141573928160826e-44,9.198512540671335e-37,8.510506339282225e-36,4.854147299793916e-06,4.4163272343158516e-26,1.7124580786104465e-05,1.5178276860274633e-05,1.7811857670642755e-07,1.44025161584076e-29,1.0855520046027469e-32,2.0135347482145413e-31,1.9119632448752854e-27,2.7814893971081296e-05,1.569550656325321e-05,8.396347681347321e-34,4.1532530970580613e-38,8.270934372729083e-35,3.4520228321819632e-34,3.235934892891969e-40,2.2410472417755476e-06,5.032463130899975e-32,9.807102464524849e-41,6.989988493067698e-26,2.3091333607910188e-08,6.037784938992612e-33,2.4940842561469538e-39,9.490920422128034e-30,2.750980559455485e-29,0.00016113191469367726,1.8494533710796045e-40,4.50143990661865e-33,0.0003470704909060192,5.121828045796689e-35,5.167304771470789e-08,8.580680467284988e-28,5.7297295340374635e-43,3.8076832489202347e-47,1.1572578342225285e-33,2.758544330235419e-06,6.147880787331371e-38,1.513129473347077e-35
2.3599136021682182e-34,2.664972553490986e-31,1.4190700527397574e-45,1.13021938535537e-37,3.509845992213953e-36,3.880667241531747e-06,6.924869877845568e-26,2.8318412051121423e-05,2.0262630816414766e-05,1.3351388494019311e-07,7.129464279774645e-30,1.235979741386226e-32,1.0835456178241136e-31,1.3213721955674233e-26,7.756616477770904e-05,1.1895176340246569e-05,3.2809884041373204e-34,7.614635711475631e-39,2.152301457763059e-35,8.268610934676286e-35,5.728106216124907e-41,1.4123257581482073e-06,1.4394674322773357e-32,3.617709722493721e-41,1.440965926442862e-26,1.1505059937384802e-08,8.871106890770403e-34,3.198549574352335e-40,3.201009158529442e-30,3.9160925237116747e-29,0.00014011934287654185,5.051032117115308e-41,1.3834081556177211e-33,0.0002815063930118077,1.8206114790583395e-35,2.0762079058998326e-08,2.5240804968291457e-28,1.4876479998055082e-43,7.050131443707412e-48,5.4070068475983005e-34,1.6805853713373375e-06,1.368225518277165e-38,3.4194276403047925e-36
2.184012570296768e-37,9.506418291086009e-31,6.168513974702173e-46,3.461127402934755e-38,2.4495117391630054e-36,3.846014459358144e-06,2.155401656514307e-25,5.4461613822442133e-05,2.920981871016164e-05,1.0900709770186747e-07,4.257794510805868e-30,1.3310634070271263e-32,6.780377377109485e-32,1.150588081299691e-25,0.0001963451288959213,1.022639696823156e-05,2.097320923745712e-34,3.037228591893101e-39,9.295571701956341e-36,2.990744614417393e-35,1.762826807390505e-41,1.0958762954107625e-06,7.144690150107551e-33,2.127388967858998e-41,5.719422271504848e-27,7.585185148069703e-09,2.4719948248021906e-34,8.030603935165247e-41,1.640666832597628e-30,9.667325562344856e-29,0.00014891858363832696,2.190502606045084e-41,6.357872012695886e-34,0.00026092517121307834,9.509729545449153e-36,1.1130842020847868e-08,1.0829540527018257e-28,6.40076888814805e-44,2.0370914085897472e-48,3.198363827308318e-34,1.1937987551936526e-06,5.122028068111638e-39,1.1999075467083771e-36
2.7096170561368258e-33,9.363796561589294e-31,9.578530135041083e-46,3.3586816951944354e-38,2.795339160824364e-36,4.536995830995433e-06,7.057847761489693e-25,0.00010116945138963745,4.2336438196239774e-05,1.0438508649475546e-07,3.645915212198614e-30,1.4531540414593514e-32,6.341502851075939e-32,4.468995882209217e-25,1.0785146355148057e-09,1.0295314427025222e-05,2.3932578254612136e-34,2.4394586642483357e-39,7.463700361500341e-36,2.412201651608684e-35,1.345000406493698e-41,1.038916653351947e-06,5.972689413839683e-33,2.019751696759861e-41,4.48949993298638e-27,7.133352197827696e-09,1.7639224864374428e-34,5.557847485435894e-41,1.4112555088303357e-30,2.515912924424062e-28,0.0001562418398846667,1.7988982348500369e-41,5.164842796714663e-34,0.0002668225472421537,7.641267673253713e-36,9.147165375239075e-09,8.017407469820111e-29,5.351680881085004e-44,1.1516519643527298e-48,2.670133361010888e-34,1.0411276469577025e-06,3.660546144697007e-39,7.750547155572787e-37
2.4582764502467e-33,8.12815349424776e-37,2.65911414900268e-45,5.933370670892126e-38,4.089518398911493e-36,5.688391071729266e-06,1.5776413631926886e-24,0.00015152148944904447,5.6848822952110986e-05,1.1037057686167632e-07,3.932707098839846e-30,1.6032340453607692e-32,7.631310390830046e-32,5.737441939790465e-25,1.2326752320046324e-06,1.12088959204564e-05,3.597903977006413e-34,2.7682114290262617e-39,8.401673680947004e-36,3.356844523963821e-35,1.7902458834704642e-41,1.0878566272946905e-06,6.489658972361863e-33,2.47743171537662e-41,5.125002289375725e-27,8.208992185517949e-09,2.248069120277795e-34,7.414176025002035e-41,1.6368170540685385e-30,5.338820760001635e-28,0.00016461100568402918,2.1655370485711727e-41,5.937989459147094e-34,0.00028394855958041,7.912576504915475e-36,9.855172028255216e-09,8.40656898059204e-29,6.618685385713393e-44,1.0404847567119548e-48,2.7819853946668914e-34,1.0346238232139615e-06,3.8720627548080695e-39,7.405344541115659e-37
1.1441790265893406e-37,1.7886416359368972e-37,4.356017299879498e-45,7.976323211576814e-38,4.149782769149799e-36,6.349136929328083e-06,2.1407575789371525e-24,0.00017365874148856625,6.380319817784258e-05,1.1434568614495748e-07,4.1064444468398264e-30,1.6757939559106022e-32,8.48736216816966e-32,5.787031924149075e-25,0.00017279062345090424,1.1748274282559062e-05,4.406208330942877e-34,3.023103503372707e-39,9.152681409653016e-36,4.1728258662016126e-35,2.1207775344168652e-41,1.1215089352623273e-06,6.913797609694181e-33,2.797240326767085e-41,5.67629131716007e-27,8.90845273569451e-09,2.6665497009453373e-34,6.489829198769824e-41,1.8184233331689718e-30,6.10668822490824e-28,0.00016651455095751077,2.4623743592821533e-41,6.585684087797965e-34,0.0002954007321673497,8.307840000441212e-36,1.0528150199910845e-08,8.949099712555866e-29,7.625093088491153e-44,1.0559898589235895e-48,2.915365729764213e-34,1.049412805374759e-06,3.847364590209416e-39,7.627856980002767e-37
1.7020490888607106e-39,7.184084792760922e-33,6.337237492990225e-37,4.376281895917327e-27,1.4818669933782043e-31,3.307184035819765e-05,2.902049285574169e-23,1.3065152515733425e-05,1.2447397451044303e-05,5.748837468501614e-07,1.176044010099941e-28,3.7874361327425584e-33,7.776410438025474e-31,3.3403721363678388e-28,2.0786969707008612e-06,0.00016542053754007224,1.5282189897333803e-30,3.566691452034563e-32,1.5207862948720928e-31,3.8102526549700544e-30,8.268445798956954e-31,3.4787425564604346e-05,3.0901287678450595e-26,1.3261678521521678e-36,4.3719219247328665e-23,1.5013409673564672e-06,2.3004981870910887e-35,2.3454482776408004e-33,6.659199236884016e-33,4.341455451400813e-25,0.00021877950296957755,9.035920975702087e-43,6.353932500129669e-29,0.0012944787425273716,1.0205350754501043e-30,1.4548812434676324e-05,1.451201412649249e-24,2.563767652318847e-38,4.9390726825888916e-43,1.408396950702323e-31,7.718128202701865e-05,2.5994182861575193e-33,2.4085653585575737e-32
2.5579490867325776e-39,7.374313358229645e-33,6.861637896525643e-36,4.5035293418305626e-27,2.051732413816143e-31,3.0617763087379196e-05,1.881263299486381e-23,1.2408643504866862e-05,6.300411692775184e-06,5.581082254312384e-07,1.1111680104419006e-28,3.787207295546556e-33,7.405611500831893e-31,3.2134626215705773e-28,2.070559325702696e-06,0.00013753790072107945,9.864147612183567e-36,2.770503689790192e-32,1.1415753437798753e-31,3.477030738636244e-29,1.5638327710595904e-30,1.3031604868513858e-09,2.259136187864271e-26,3.3729796420440966e-41,2.602297150605679e-21,4.14032941766338e-11,1.464688888718705e-27,4.343644398232498e-40,4.3568550593009706e-26,0.003180389152955528,0.002006065808731573,2.071563919220238e-36,6.219488874343355e-29,0.0010823463429058865,7.798828320177364e-31,1.4822556697307249e-05,1.2520097384867956e-24,1.8623633417002724e-38,4.0032838746490584e-43,1.4525241515200266e-31,7.148202418651135e-05,2.6733585137741572e-33,2.0282063598744763e-32
3.5488358510136105e-39,7.749992866219899e-33,4.7954383075748655e-37,3.8011979261814896e-27,8.064344337114329e-32,2.3618563177969706e-05,5.063224190039569e-24,9.463031053229247e-06,1.4241937784577216e-05,5.122207962359769e-07,9.389824076139608e-29,3.7564318705152335e-33,6.364096263921766e-31,2.876595687214754e-28,2.0460063501698995e-06,5.4773089168241196e-05,3.5937980773600626e-30,1.2573031418989287e-32,3.537588829219844e-32,6.370140244450671e-30,0.0016181728987149319,5.983248140688293e-05,1.1095282924199273e-26,9.522675754326862e-37,4.975838622674294e-21,2.2693146330047274e-06,7.500595341142107e-30,3.777707560891323e-37,2.6026455179776305e-26,0.006965526238176387,0.004821793543564809,3.1051456223394557e-37,3.4299539437233826e-29,0.0008132201680557797,4.3333325301060925e-31,1.1321341023223455e-05,8.20731186237012e-25,9.823714328654771e-39,2.1971362337912737e-43,1.233821353387462e-31,5.768759187038128e-05,1.2475972715850406e-33,1.2713845982271544e-32
8.260192300859994e-39,8.373393828844055e-33,1.2839594989623224e-40,1.5621268601658227e-27,2.1858457496752992e-32,1.5398517384217094e-05,8.629060055831064e-25,5.6958962462933395e-06,8.209962141834238e-06,4.440200121563003e-07,7.120016613035137e-29,3.7204378557478306e-33,4.8912861546737525e-31,2.4204628327137665e-28,1.9972490811894916e-06,0.0002317483484756729,1.2436396777013252e-32,4.835244788986852e-39,4.8907994118504357e-32,2.3670358922451644e-30,0.005350289440943748,5.2762128598420785e-05,3.5624928041059975e-27,3.890228404554782e-36,3.7115843448747094e-21,2.4397243641331027e-06,3.957534834215475e-40,5.391547660385906e-35,8.237014563881975e-27,0.014627062527484816,0.003918993918480905,1.213209592209677e-37,1.5601073884717173e-29,0.0011317479032555678,1.4184533898788388e-31,8.174441591085692e-06,4.193510516296677e-25,3.4073667930297997e-39,8.26359566439237e-44,8.601782542039862e-32,4.261693738634322e-05,4.896975105889982e-34,6.601405988249216e-33
