filename,PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
datetime,2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
injection,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
22,2.459419313467246e-42,2.1706154438134968e-27,4.902067746326014e-05,1.866340765014003e-30,2.4081488357118656e-05,3.3709105925309065e-25,3.698803134680345e-40,5.847154198261131e-26,2.574221010316182e-27,2.5540111855318817e-23,4.157594175238656e-05,5.8017769572844995e-40,2.1485803455993177e-35,0.0003844554836571585,1.9819336469628023e-30,8.747297613254156e-29,3.130357017041612e-05,0.00020286723297343383,1.2336054083089071e-05,2.5003348720056468e-23,0.00697833398131791,2.5822260521778807e-28,1.629403986214539e-05,3.496594639229267e-33,0.0002220082680687632,2.070585125025722e-25,4.113106631857537e-05,2.304642064201371e-27,2.4963699865260185e-05,1.1976757973261955e-25
23,1.3886511929565435e-41,9.940851930520217e-27,3.411391575005691e-05,1.9252380851465403e-31,1.0729896066818327e-05,1.1927269724226728e-24,3.2235673954950296e-41,1.7337841794696216e-27,3.408342193556767e-29,2.041089776474288e-24,2.942818217437533e-05,3.73648219185237e-40,3.550867829450818e-36,9.323544469407403e-05,6.57311631643495e-31,2.459482242124084e-29,3.542682814105763e-05,0.0001432402367302587,9.253365661258337e-06,1.8207963458136676e-23,0.000363543790527356,2.1437287091913478e-29,1.8869009101680718e-05,1.6882185380280758e-33,0.0002125512377585883,8.686065305735732e-26,6.75276550969418e-05,4.288267155488304e-25,3.1741082727104e-09,9.195331793160464e-29
24,1.3761225260568333e-40,7.055046350014906e-26,0.00012249632480750778,1.4649129526914872e-33,1.3501718340254521e-05,9.955875186725567e-24,2.701658591830071e-41,2.686233413171179e-26,1.1958983631035444e-30,1.561565701611861e-25,1.3973549986874702e-05,6.049922597006344e-41,1.6682594751726358e-35,5.9269403947200374e-05,1.1406703544645707e-30,3.5833566826673264e-29,1.1818391399323856e-05,0.000826540271069859,1.1691861049313268e-05,4.977281635528939e-23,0.0006123962429167379,2.0146798002004132e-30,1.1709670326353885e-05,2.7403197774766093e-34,0.00015721349001822482,9.348852987904409e-27,5.317929723579839e-05,3.976152606445108e-28,1.803227713899394e-05,6.116731114438258e-28
25,0.00513621894441787,1.0171777985533633e-24,1.6965387071486406e-05,1.5569545667329428e-32,4.032316383370435e-06,7.395056698440588e-24,2.150950671972798e-41,6.60194207827983e-27,3.1449898914329184e-32,1.5005441478624584e-26,1.8124485901207124e-06,3.45157192083921e-42,2.7765588027632354e-36,1.2946600982364508e-05,3.9304625467894827e-31,1.4155443304954297e-29,6.931653353106068e-06,0.0008023460302989155,1.0816816383198193e-05,5.054744042775334e-24,0.000502358827795086,2.859958403974875e-31,3.04908358646033e-06,1.9435329722907996e-35,6.124001325244104e-05,2.2446664751731517e-28,2.2269449028575142e-05,4.6608056666318254e-30,3.885953991895948e-06,1.0992792937957632e-30
26,0.035224114394317,0.006738645007328038,1.2090504860942143e-05,1.394267863607029e-32,4.001792463112116e-06,5.773695447848384e-24,6.333496070156456e-41,5.555996417784603e-27,1.8474452494401215e-32,1.0444688462889918e-26,1.3509832774756927e-06,1.8891022598788427e-42,3.340059762064272e-36,9.403130799324469e-06,4.740133962544222e-31,1.810465523859008e-29,1.6011896259193468e-05,0.0002047256588298064,1.2040099583677198e-05,1.0241340264971932e-23,0.0007493635659735109,2.43571081863484e-31,3.4776023077024618e-06,1.4838435086097627e-35,6.229669941331864e-05,1.3080397535362614e-28,2.6083720336781713e-05,2.466563024098778e-30,4.034359585084653e-06,4.5805685851543015e-31
27,9.862393479377612e-36,5.943634637318462e-34,1.0135155337389323e-05,8.500684502529122e-33,2.994645610859305e-06,4.051122911708017e-24,4.950492582983585e-41,1.4341043181040953e-27,1.978779688550837e-32,1.231083532444487e-26,1.2028261631006553e-06,1.9371371484935314e-42,1.0618917204651868e-36,7.558652758110963e-06,3.257832977225666e-31,1.3454148920280979e-29,5.230752286575038e-06,0.00011459840798554681,1.0073039994948088e-05,1.3912617794427182e-23,0.00021126797380427407,2.635462533262453e-31,2.6206668169883715e-06,1.0403940044805647e-35,5.453685332578386e-05,7.841091094267393e-29,1.786610368989892e-05,1.6569822441931103e-30,2.820072495130425e-06,2.7461049141494636e-31
28,1.748523829045775e-41,7.512297477682509e-28,5.6012676016054234e-11,4.41435329274351e-28,4.6268037090353484e-11,1.5551740596742541e-30,3.30649044108999e-36,1.0566891526730295e-21,1.4019622267140315e-28,1.319723302120908e-20,0.00034771757785551836,4.415504214024563e-33,5.650784006655086e-41,5.221693638325997e-10,1.5585376960282529e-28,1.888127182212995e-26,9.522929071336636e-13,0.0002581591066347656,2.4645329831616797e-05,5.8294728192311374e-21,0.0002745093114551454,2.0573890443957454e-24,0.004334139619001128,4.052270642695355e-24,0.0015573814999315049,7.188373986084495e-22,2.3130941926806383e-07,1.3853515874171876e-27,0.0016884852134302782,2.6563606668460066e-23
29,1.7035650828003728e-41,6.800457339647148e-28,2.2783595196358352e-12,0.006021133594326271,0.0001775706671871088,1.1535763542014022e-25,6.052984795947272e-36,0.00785407004786268,0.059142997775770575,0.06240905904166302,0.023317450611627447,0.003414455606056481,0.020501344801880608,0.005581783428919705,4.969465612342157e-29,2.8926217292613787e-27,4.668994177078368e-05,0.0003471526453882534,2.4699349084391874e-05,2.7951829870496705e-21,0.09414888384125378,0.062018026999621965,0.007160552929907159,0.035137469164197827,0.003892882070472511,0.028126221155472173,0.013810548987872883,0.010775001136381416,0.006467637190197356,0.01294428384282503
30,1.6014540763443388e-41,1.3354021414150412e-27,3.844065363845258e-06,1.9421306310401556e-29,0.00014991548823910618,2.4091090823204126e-25,1.167474785396822e-37,6.374676624968627e-24,0.005630241149428448,2.303247438624812e-24,0.00018124480449219346,5e-324,6.477716108765128e-39,5.0668414049580424e-11,6.154491610012174e-30,1.967211173030105e-27,2.7006553954435632e-05,4.047188430978057e-11,3.506013720057429e-05,9.624745976504493e-24,0.003148003648115262,2.0676563649000364e-24,0.00018298851582120116,4.058042118126743e-40,4.3933694256109036e-06,6.866722881185594e-31,0.0028296603077414555,0.006459215035389873,0.0006170777872347644,0.0023261347802949967
31,2.684241872867144e-41,4.855334991788952e-27,3.1740071734920885e-05,3.0345232617942677e-30,5.7648225127614895e-05,9.445627547158286e-25,6.634611939396028e-46,2.391715404340927e-26,6.404508784795041e-26,1.3429893629709976e-22,0.0005926177934438395,1.0122593978713934e-46,7.89142034740034e-35,0.000931760426536914,3.362696715609892e-30,1.9695870544350556e-28,0.0002809453593768112,2.3270003323567734e-07,5.1575665150982355e-05,2.2913420052678693e-25,0.01640105063257515,6.536382037597312e-25,0.0012894487618930037,0.007697354434851847,0.001612861588779772,0.019090742356494616,0.02327324906998179,0.03715495790748488,0.015592319807271424,0.03385773060265969
