PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
1.1855039894246203e-35,2.207950646019116e-27,9.317045427483943e-08,2.083641434254029e-32,4.006964873026915e-43,7.442540652212363e-24,0.004702055748393234,6.236780135324503e-07,0.005715527687437967,2.715123331573222e-35,0.007334580516111807,5.841797115598518e-22,0.00016728148604502001,0.005406909652621509,4.336235600762185e-07,5.4078000004847415e-30,0.003075867209713899,0.014926313267977087,1.429943687634727e-27,6.2977715446213e-39,0.009807334182891302,3.965918124442668e-29,3.9948089793161564e-25,0.004861133437379367,6.261510490205525e-36,0.0011101025784557882,0.009829611795968599,0.005446876990095491,0.009264685162098463,0.0008143500549665128
2.2324919260222915e-35,3.116236892041998e-26,4.208728627369511e-06,0.0040007048063956715,4.944546424532219e-44,2.217550250632067e-25,0.003390669577237995,0.0006935402604244473,0.004238372227670584,1.2396608164386152e-37,0.0004489827047430419,1.7249496979738074e-22,0.007912618305635881,0.0028696421058285195,5.442806124097159e-06,6.3057837801937735e-27,0.0038749196760191496,0.00433956213950091,9.324499981239902e-25,0.005447850788640442,0.004334387153942653,6.369535570156608e-31,0.007098211583936389,0.008925154013777895,1.5924371824283204e-35,2.2531640878679024e-23,0.00582810212139049,1.1333606047903372e-22,0.008020776263340803,9.430914755097018e-24
7.954982599042873e-35,4.097970969634474e-24,0.005647106767902663,0.010314859036651743,7.999416995414808e-48,1.3073738626561364e-26,0.002419062860144192,0.004698310438972816,0.003150633786998633,6.841043814538183e-39,0.00013346093506299168,7.32889251843318e-24,0.0032038034759748583,9.646476678828673e-11,0.00014595733176422942,0.004778423957944157,0.004332414709466278,1.3418602514121384e-24,0.009032345179121009,0.014390502583923345,0.09895735696836488,5.217785646861114e-32,0.003711303760249867,0.004657812889373369,7.376589726285873e-34,2.1307512034575615e-21,0.008654410223088164,1.2041453916108103e-22,0.00873457558351224,5.65499971207069e-25
0.0003176086572309879,2.6380969404328833e-22,0.0008042045006083379,0.0015999546771627493,2.325009581687298e-49,3.235745655101262e-27,0.002023489864238811,0.0009213077716705154,0.0028380122065078724,2.28385025014123e-39,8.231537775669507e-05,1.6261507702744467e-24,0.0003495441179014298,0.00010884960244249295,0.0020625220960581434,0.0020423473863356006,4.074204332140341e-05,4.423222613369757e-25,1.4829865292767099e-18,1.0296621096908224e-25,0.018317152403125175,1.3594846000571136e-32,0.0034866477642294504,0.0009554599315556824,0.0027772749304167538,7.342335146075948e-22,1.5314964607481835e-24,3.3773766970150545e-24,6.432903475007025e-05,5.135779017330165e-29
1.4522148041103959e-34,6.026745963063102e-23,1.001917622394387e-05,6.287993985476298e-33,4.68986842829727e-52,1.0197380647249996e-27,0.0019142399706256162,0.00022150579814270168,0.0024016314266847197,3.912268366966885e-39,1.707116218924748e-05,7.614408890164347e-25,7.313727677202228e-05,3.137395618196273e-05,3.1232043343744316e-06,1.4774348467750545e-23,5.696341173514387e-07,1.4338083069658649e-24,1.2382601154499985e-25,6.256028725974541e-29,1.979046262080761e-09,1.0136792147685485e-32,2.0005241032331379e-25,1.5755819698661257e-27,1.0805386556282363e-38,6.080799755064355e-23,9.961775984009458e-23,3.4035737354560313e-23,0.0002611073202260644,4.202879002214435e-25
2.660472314795527e-35,8.13387976651484e-28,5.61977401557123e-06,1.2390609159832312e-31,8.068878321833973e-45,1.2869235777643047e-26,0.0002523902488734223,0.0007045247090464129,0.005565194970484786,9.344289840487086e-24,0.00022106397020231909,5.641411989575411e-18,0.000173286722353919,3.794099729589452e-06,3.414419929788424e-06,2.0310134781699548e-29,2.994508372710354e-06,7.608586924120492e-24,1.1338347413977014e-30,3.601029175415084e-26,1.1875186752039243e-12,1.2563347787554556e-28,1.0336442783710903e-26,3.275914219430719e-14,4.005578319682595e-34,1.1740008415978807e-19,2.851321452259199e-20,9.057007006581299e-24,0.0012641007795433925,4.87501782730172e-27
2.4202320917758494e-35,1.2379274129178502e-27,1.6224094937251099e-07,2.0031072670586506e-33,1.3924276600309012e-40,1.1289395356593866e-21,0.006779912909221284,0.00042594882321754637,0.007199553709134832,0.002418386353244619,4.7804658349140006e-05,3.2032557831226703e-19,5.685151945039524e-05,4.398264939013815e-06,2.7336373156484354e-07,1.0656139326674223e-26,2.4328711798399774e-05,2.220211645459153e-23,2.67859232824654e-27,8.454943272063406e-28,0.003905461601957062,0.006439277051215565,0.002176715050880157,0.0052687291863038445,0.005396360687563859,0.005957206213610041,0.0048792184081375605,7.55691272302797e-24,0.003334370449024113,1.4501722489389315e-27
2.2104817557059946e-35,6.6743545788479975e-28,7.888834356128007e-07,2.846724607758081e-32,5.730961201647363e-44,2.9870362821729193e-21,0.0027807063762677157,0.0005661425914135582,0.009737703016053758,0.02398554639274291,3.157006883988433e-05,8.26569639781934e-22,6.193102432995155e-05,4.3958741106991083e-07,1.816813507165481e-06,1.3965998232709405e-27,1.0652329397778541e-05,7.169167906648555e-27,1.294747238440259e-26,3.6638053181570413e-28,0.011287581539192673,6.058451752097371e-28,0.005811484552591913,0.00882509094461588,0.007938102220304829,0.007686690963076875,2.0024181889260253e-20,2.4664445273673675e-23,0.0034571018791030605,2.826419992893317e-26
2.069342866759477e-35,1.1061070716234042e-29,1.0581832132790447e-06,3.307463159255113e-22,0.002855960890756704,6.872921392086587e-21,0.02916198603300259,0.0003566212225290445,0.006576771226884337,0.0053780646123003,0.009994463536744734,0.012951133758976274,0.008738228273759505,0.004387591201297841,4.707456741546415e-05,0.012735419771847056,0.014457630196772328,0.0017749541042381654,0.005289828896753474,0.028292215884551716,0.07580560243342642,8.649895262859371e-26,0.022109993081272598,0.017672059647585628,0.04567459631784645,0.02510419918070298,1.302340843822276e-22,1.5703928604846558e-22,0.014057534294596644,8.96947574240619e-25
1.9563743727664603e-35,3.349454918282066e-27,5.966751869944552e-06,0.005268797162857678,0.0072149522703837225,1.0294094522300218e-22,0.005787011041998725,0.011300386182513637,0.007561540016188403,1.5143122303475803e-34,0.016604349960916556,9.08757049452424e-21,0.0023520383921538423,0.0002589822600389221,6.873044044466678e-05,0.0032356792488426813,0.025199431474376498,1.9216717566136194e-26,3.422386066619154e-23,2.6444703424864014e-48,0.06340151595069035,3.894769126452933e-28,0.015836424840316707,0.005929368496478048,0.03178624020539649,8.832836947487018e-20,0.02177847504253457,4.581739090471233e-22,0.012129022678252253,1.5396879943139284e-24
1.452342641990907e-35,8.86060706917715e-26,9.172149772166186e-14,6.717096649022291e-36,1.7238181438735966e-46,3.967897531539376e-24,0.0036625914647119956,0.009850278383863625,0.005908066204552931,8.669012549981426e-37,0.00841697157865134,3.280893772504193e-22,0.013468438827475957,0.0001651610173050514,0.005284473761657724,0.014702093130683241,0.00925551465442362,1.6424563753720895e-27,0.02223032153723503,6.304424866594505e-28,0.15757320919803525,7.728022417955584e-30,0.01662288245179681,1.4855508446532286e-28,0.009436827061733493,2.3643305233006558e-20,0.0014744913546491615,1.8950718571465898e-22,0.001976808022760671,1.839612910478957e-24
1.3485503794725895e-35,1.849848956962439e-24,0.0019510869679698942,1.4301689666371225e-38,1.1640139497515884e-47,2.1830401128487346e-25,0.004910673777473949,0.0003280733522966036,0.005252130805768975,6.414104045699098e-38,0.0005037136880481436,3.0476186413704564e-23,2.353266895406428e-12,9.292871280034543e-05,0.007948225876678454,0.0004241263677456776,4.0894484884794214e-05,9.206819448587841e-26,0.0017424314938136282,5.34470632861961e-29,0.00012720708035621385,7.531494573726918e-31,0.010557988425130664,1.2410842031850626e-27,0.008303651770613533,3.80261508110526e-21,0.006858978268064428,3.583117415911748e-23,0.0038337686213183535,5.36985021458649e-25
8.131889153728765e-36,2.076840300198654e-23,0.004371470032573761,5.92254704065685e-34,1.2750461008819326e-45,3.916726441896598e-26,0.004135098041576032,0.00032044927297896863,0.0046460841497712995,1.723572448266553e-38,0.0002152913794330913,8.615711614883187e-24,0.0014992504769502325,6.089280627693743e-05,0.003908937519858576,9.322814930214445e-16,0.00021520452299080416,5.683670224188136e-26,0.01168765816044467,2.5650366402993657e-28,1.6366430230678296e-06,1.9551669574303229e-31,3.504541803169707e-18,1.4085126203207387e-38,0.0004207452183559199,1.1550594552524027e-21,0.005825054446670999,1.4060446880651e-23,0.0023750174480446397,1.181336974198132e-25
7.899576916900851e-36,3.31774897632896e-23,4.6710786397113456e-05,2.626371032832532e-34,3.661672384633432e-49,1.740105052959078e-26,0.0036290084631087583,0.00021719194595979093,0.004078430796834348,1.1623064507148338e-38,7.129422211118025e-05,5.17635044610763e-24,0.00023579125585782273,4.824439576377528e-05,2.593062176940468e-05,1.3558325233235082e-21,4.05603032551718e-06,8.511188806040331e-26,8.916110566348404e-24,1.5645690386410684e-28,2.156421365349991e-07,1.2209257381136304e-31,8.059401084534372e-23,1.8793405585208697e-27,1.818335227489251e-36,5.771585236052233e-22,5.863267785430646e-22,2.60931699052028e-23,0.0010798896597730286,4.03421473207347e-25
6.534948186825717e-35,2.1380005496112986e-32,4.881263989527373e-07,2.1735136272043192e-29,1.3426054900516871e-39,8.155184463399258e-21,4.61285543270857e-06,3.400197502599518e-10,8.920167280005565e-05,4.5394826255467844e-24,0.0008336919418966811,6.9088395435833815e-18,0.0002629008085879125,1.2650724106657995e-05,1.950328010688637e-05,8.240954681484529e-24,6.9623482050590124e-06,1.2900171662931648e-24,1.0777010682280246e-24,9.416102318134006e-34,0.00029466333630126794,1.106005619567077e-24,3.4776062794030844e-25,1.549289540190654e-20,6.855468620038458e-32,1.3830852684579476e-24,8.7521472551289e-21,3.609546259511943e-24,0.001421456051839435,2.841842907295518e-27
6.646686443902623e-35,2.2891372111096862e-26,0.008309624764998526,0.011176141908369186,0.016973793159587587,1.538172776606538e-19,0.014290030245595607,0.004495514403099572,0.013999658513721832,1.4503607307478772e-19,0.015345324188026302,0.002110642908357826,0.018594807632186103,4.5608215672541594e-05,0.007526346482891388,0.01212422215613304,0.009100740042748258,4.063096353461026e-24,0.008445779078576519,1.3786734092430092e-17,0.007539898027933625,2.5212269646104233e-24,0.0238669802964132,0.0001144098642601933,0.018410313393950335,1.4750871211383813e-20,0.01842149713753139,4.7453453635839976e-24,0.013438879060687515,2.3506754732132447e-27
6.118416097099314e-35,1.3595659622959228e-26,0.019628736191234338,0.02111700352298338,0.006502361156176504,3.73662876846275e-24,0.038410691796667,0.00783800856605822,0.009201764379329997,3.638769527004938e-24,0.020432700377400293,4.8500054941804044e-18,0.014717993488382231,1.751269230772425e-05,0.01341796946098111,0.016448265400098704,0.029183507223490956,6.696293470749518e-24,0.009369760967136546,1.461385444964944e-25,3.8923998590135155e-14,9.792654762491359e-25,0.012267738019324202,6.418328132302504e-23,0.03264853526249708,7.140244061234528e-21,0.0045585516807367,1.5901787960424678e-23,0.004976938309150065,2.243833811398758e-26
4.7916659577385227e-35,2.812785492222649e-26,5.3259838006403065e-12,7.768315995680655e-30,0.031615369377765636,9.4937462828175e-25,0.005541126651687764,0.0018983869306840693,0.01676125074800124,6.123243736823169e-30,0.019640659839973196,1.0936137940142222e-20,0.017316694041953882,1.3476536768656952e-05,0.03580312442758589,0.0025597993746312975,0.013140636382179062,6.7348111082130345e-25,0.04685715763555758,3.553472379251855e-30,4.58459034213427e-14,2.9928365082702574e-26,0.010230269394732094,1.0845617926762897e-24,2.758567167184706e-28,6.941616464675455e-21,0.05366423190368695,1.2713089215670706e-22,0.05331532751385096,4.474940966021068e-25
2.313794823475219e-35,8.196970146995789e-28,0.02449392463285473,3.073767424835495e-32,0.052310311313082704,1.318438137211542e-21,0.006375977467688474,0.000286212607610034,0.01677727111919007,1.1704907512113045e-35,0.03746799079538815,7.172592446501428e-22,0.03736572914693164,2.3825140515420053e-05,0.03752218692847867,1.0489402352230189e-16,0.011912907330649924,1.8054375694238093e-25,0.01941951503153363,5.1850567867066076e-30,0.0008724100959011957,1.1254555371568232e-27,0.038171217972880284,6.451101578474074e-25,0.007311126748639615,5.901590593695994e-20,0.03370359613885632,2.2115557268118738e-23,0.05641734131036338,2.0943578274275703e-24
