PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722
2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00
Stem,Soil,Stem,Soil
2.7006553954435632e-05,4.047188430978057e-11,3.506013720057429e-05,9.624745976504493e-24
0.0002809453593768112,2.3270003323567734e-07,5.1575665150982355e-05,2.2913420052678693e-25
0.0012554438571032182,0.013882507236863772,5.0485229731238775e-05,5.330067720320881e-25
0.008113043469351058,0.005279791040871947,8.714381707477328e-05,2.1397999224010423e-21
0.006041632500777816,0.0003213267810412342,0.00010012149654477731,0.005489878212332192
5.252258468007644e-05,0.00012363609765028894,5.6401131025724386e-05,1.613893611827841e-25
3.7992285781535905e-05,0.00012160142478475327,4.712439800280851e-05,1.9043912716635893e-22
0.00012673355081740793,0.00044424955593484066,5.193565069728348e-06,2.6807947999043773e-21
9.660002036392748e-05,3.533260431384845e-09,3.058461762244485e-05,3.3134522642788145e-22
0.00010440939951975861,0.0008648126116753203,0.0002827724711240614,2.342265939284493e-22
0.0030043813995629313,0.009227730612379394,0.002898576039110069,0.013641429858815838
0.015573276743102271,0.003688702434492728,0.0021647337286180377,0.006823513870706685
0.005135558635336775,0.0004056219111578088,0.01756471194707625,0.005100828969081909
0.0005291578755838147,0.00016734348746755281,0.005005113134833021,6.589358753970501e-23
0.0003828877213789048,0.00010002715415252492,0.008977870698811076,2.1333671382767877e-21
0.00018926154557006948,9.773311006542277e-05,8.433179710817558e-05,1.743951458343079e-21
0.00017189818171868738,0.00047160707298869655,2.8393995236470408e-06,1.1186844306957953e-20
0.0007314630069054519,0.0006272909258051292,0.0012619021669622197,3.207157785423509e-21
0.005389497588191951,0.0012002241103448211,0.0011756379799736528,0.009370281022254148
0.01052711521873277,0.0016712975173556388,0.013413087997861577,0.00042302156510235785
0.008722166473190398,0.0008483736475301172,0.0219124685821516,2.3101216005089055e-15
0.013253896889387603,0.0002625292159403675,0.012236756155161219,6.809550051415428e-23
0.004669467573668452,0.00015016710951545943,3.189531799458108e-05,5.033147329132955e-21
0.0025968584164123734,9.15218603851617e-05,0.008007445465679714,0.0016565066977891794
0.0008110612020085767,9.649412801229113e-05,1.436988720121206e-07,1.0248043304114e-20
4.800509607149312e-07,0.0003991043089301866,5.475482905663775e-09,1.4289162149664934e-21
0.011662708359659293,0.0005023184944379148,0.015440092428376538,4.843702066213691e-21
0.02275603400125469,0.0011874653124177208,0.038464881506026394,6.740394003569788e-20
0.01832627255581481,0.005694424617142584,0.04773057308349739,2.623862850644458e-18
0.05553347133116889,0.0009810152795050643,0.015693545381573283,0.022031138463691532
0.008529081968205836,0.0005571706750474901,0.010189528576140415,2.0970441473465933e-26
5.196795314165511e-06,0.00020327093976947158,4.190487929366644e-12,6.897904075747052e-21
0.002309121011699451,0.00011754689691561084,0.02095992947707526,2.360165921232699e-25
0.0015082458885933186,1.8420463302034799e-09,2.3253370691501115e-13,9.426853611001734e-21
9.9920798804332e-07,2.1929778437433306e-10,0.0013952668240118404,1.4757863737120536e-30
0.014555030773729473,0.0007068639531336047,0.0029667217311982277,2.6108659018054235e-22
0.0351112985000608,0.00099461590520809,0.01701149671983686,5.605276184469294e-22
0.057070602920109646,0.0008815559046731486,0.007039790421908673,1.976110342983306e-20
0.08840121627953527,0.008697583260763787,0.1324113767695794,0.014674284741617217
0.0488960867955936,0.001046349867880302,0.06497852929920858,0.028625303844793504
2.359338654807632e-12,0.0002748210839280821,0.0139027389509843,8.418489851682043e-21
0.004516867483479142,0.00021075063904302938,0.008511149264703382,4.6877835801561645e-21
0.0006409502066193433,0.00011307308150335268,1.3548103587072716e-10,9.109025156553509e-26
