a,b,m,n
4,6,63,65
4,6,48,50
4,6,50,52
4,6,52,54
4,6,54,56
4,6,56,58
4,6,58,60
4,6,60,62
4,6,62,64
4,6,64,66
4,6,66,68
4,6,65,67
4,6,67,69
4,6,69,71
4,6,71,1
4,6,1,3
4,6,3,5
4,6,68,70
4,6,70,72
4,6,72,2
5,7,8,10
5,7,10,12
5,7,16,18
5,7,20,22
5,7,22,24
5,7,24,26
5,7,9,11
5,7,13,15
5,7,15,17
5,7,17,19
5,7,19,21
5,7,21,23
5,7,23,25
5,7,25,27
5,7,27,29
5,7,26,28
5,7,28,30
5,7,30,32
5,7,32,34
5,7,34,36
5,7,36,38
5,7,38,40
5,7,40,42
5,7,42,44
5,7,44,46
5,7,29,31
5,7,31,33
5,7,33,35
5,7,35,37
5,7,37,39
5,7,39,41
5,7,41,43
5,7,43,45
5,7,45,47
5,7,47,49
5,7,46,48
5,7,48,50
5,7,50,52
5,7,52,54
5,7,54,56
5,7,56,58
5,7,58,60
5,7,60,62
5,7,62,64
5,7,64,66
5,7,49,51
5,7,51,53
5,7,53,55
5,7,55,57
5,7,57,59
5,7,59,61
5,7,61,63
5,7,63,65
5,7,65,67
5,7,67,69
5,7,66,68
5,7,68,70
5,7,70,72
5,7,72,2
5,7,2,4
5,7,4,6
5,7,69,71
5,7,71,1
5,7,1,3
6,8,9,11
6,8,11,13
6,8,17,19
6,8,19,21
6,8,23,25
6,8,25,27
6,8,10,12
6,8,12,14
6,8,14,16
6,8,16,18
6,8,18,20
6,8,20,22
6,8,22,24
6,8,24,26
6,8,26,28
6,8,28,30
6,8,27,29
6,8,29,31
6,8,31,33
6,8,33,35
6,8,35,37
6,8,37,39
6,8,39,41
6,8,41,43
6,8,43,45
6,8,45,47
6,8,30,32
6,8,32,34
6,8,34,36
6,8,36,38
6,8,38,40
6,8,40,42
6,8,42,44
6,8,44,46
6,8,46,48
6,8,48,50
6,8,47,49
6,8,49,51
6,8,51,53
6,8,53,55
6,8,55,57
6,8,57,59
6,8,59,61
6,8,61,63
6,8,63,65
6,8,65,67
6,8,50,52
6,8,52,54
6,8,54,56
6,8,56,58
6,8,58,60
6,8,60,62
6,8,62,64
6,8,64,66
6,8,66,68
6,8,68,70
6,8,67,69
6,8,69,71
6,8,71,1
6,8,1,3
6,8,3,5
6,8,70,72
6,8,72,2
6,8,2,4
7,9,8,10
7,9,10,12
7,9,12,14
7,9,16,18
7,9,18,20
7,9,20,22
7,9,22,24
7,9,24,26
7,9,26,28
7,9,11,13
7,9,13,15
7,9,15,17
7,9,21,23
7,9,23,25
7,9,27,29
7,9,29,31
7,9,28,30
7,9,30,32
7,9,32,34
7,9,34,36
7,9,36,38
7,9,38,40
7,9,40,42
7,9,42,44
7,9,44,46
7,9,46,48
7,9,31,33
7,9,35,37
7,9,37,39
7,9,39,41
7,9,41,43
7,9,43,45
7,9,45,47
7,9,47,49
7,9,49,51
7,9,48,50
7,9,50,52
7,9,52,54
7,9,54,56
7,9,56,58
7,9,58,60
7,9,60,62
7,9,62,64
7,9,64,66
7,9,66,68
7,9,51,53
7,9,53,55
7,9,55,57
7,9,57,59
7,9,59,61
7,9,61,63
7,9,63,65
7,9,65,67
7,9,67,69
7,9,69,71
7,9,68,70
7,9,70,72
7,9,2,4
7,9,4,6
7,9,71,1
8,10,11,13
8,10,13,15
8,10,15,17
8,10,19,21
8,10,21,23
8,10,23,25
8,10,25,27
8,10,27,29
8,10,12,14
8,10,14,16
8,10,16,18
8,10,22,24
8,10,26,28
8,10,28,30
8,10,30,32
8,10,29,31
8,10,31,33
8,10,33,35
8,10,35,37
8,10,37,39
8,10,39,41
8,10,41,43
8,10,43,45
8,10,45,47
8,10,47,49
8,10,32,34
8,10,34,36
8,10,36,38
8,10,38,40
8,10,40,42
8,10,42,44
8,10,44,46
8,10,46,48
8,10,48,50
8,10,50,52
8,10,49,51
8,10,51,53
8,10,53,55
8,10,55,57
8,10,57,59
8,10,59,61
8,10,61,63
8,10,63,65
8,10,65,67
8,10,67,69
8,10,52,54
8,10,54,56
8,10,56,58
8,10,58,60
8,10,60,62
8,10,62,64
8,10,64,66
8,10,66,68
8,10,68,70
8,10,70,72
8,10,69,71
8,10,3,5
8,10,5,7
8,10,7,9
8,10,72,2
9,11,10,12
9,11,12,14
9,11,14,16
9,11,20,22
9,11,22,24
9,11,26,28
9,11,28,30
9,11,13,15
9,11,19,21
9,11,21,23
9,11,25,27
9,11,27,29
9,11,29,31
9,11,31,33
9,11,30,32
9,11,32,34
9,11,34,36
9,11,36,38
9,11,38,40
9,11,40,42
9,11,42,44
9,11,44,46
9,11,46,48
9,11,48,50
9,11,33,35
9,11,35,37
9,11,37,39
9,11,39,41
9,11,41,43
9,11,43,45
9,11,45,47
9,11,47,49
9,11,49,51
9,11,51,53
9,11,50,52
9,11,52,54
9,11,54,56
9,11,56,58
9,11,58,60
9,11,60,62
9,11,62,64
9,11,64,66
9,11,66,68
9,11,68,70
9,11,53,55
9,11,55,57
9,11,57,59
9,11,59,61
9,11,61,63
9,11,63,65
9,11,65,67
9,11,67,69
9,11,69,71
9,11,70,72
9,11,4,6
9,11,6,8
10,12,11,13
10,12,13,15
10,12,15,17
10,12,21,23
10,12,23,25
10,12,25,27
10,12,27,29
10,12,29,31
10,12,14,16
10,12,18,20
10,12,20,22
10,12,22,24
10,12,26,28
10,12,28,30
10,12,30,32
10,12,32,34
10,12,31,33
10,12,33,35
10,12,35,37
10,12,37,39
10,12,39,41
10,12,41,43
10,12,43,45
10,12,45,47
10,12,47,49
10,12,49,51
10,12,34,36
10,12,36,38
10,12,38,40
10,12,40,42
10,12,42,44
10,12,44,46
10,12,46,48
10,12,48,50
10,12,50,52
10,12,52,54
10,12,51,53
10,12,53,55
10,12,55,57
10,12,57,59
10,12,59,61
10,12,61,63
10,12,63,65
10,12,65,67
10,12,67,69
10,12,69,71
10,12,54,56
10,12,56,58
10,12,58,60
10,12,60,62
10,12,62,64
10,12,64,66
10,12,66,68
10,12,68,70
10,12,71,1
10,12,3,5
10,12,5,7
10,12,7,9
10,12,9,11
11,13,12,14
11,13,14,16
11,13,16,18
11,13,18,20
11,13,20,22
11,13,22,24
11,13,24,26
11,13,26,28
11,13,28,30
11,13,30,32
11,13,19,21
11,13,25,27
11,13,27,29
11,13,29,31
11,13,33,35
11,13,32,34
11,13,34,36
11,13,36,38
11,13,38,40
11,13,40,42
11,13,42,44
11,13,44,46
11,13,46,48
11,13,48,50
11,13,50,52
11,13,35,37
11,13,37,39
11,13,39,41
11,13,41,43
11,13,43,45
11,13,45,47
11,13,47,49
11,13,49,51
11,13,51,53
11,13,53,55
11,13,52,54
11,13,54,56
11,13,56,58
11,13,58,60
11,13,60,62
11,13,62,64
11,13,64,66
11,13,66,68
11,13,68,70
11,13,70,72
11,13,55,57
11,13,57,59
11,13,59,61
11,13,61,63
11,13,63,65
11,13,65,67
11,13,67,69
11,13,69,71
11,13,71,1
11,13,1,3
11,13,72,2
11,13,2,4
11,13,4,6
11,13,6,8
11,13,8,10
11,13,10,12
12,14,15,17
12,14,17,19
12,14,19,21
12,14,23,25
12,14,25,27
12,14,27,29
12,14,29,31
12,14,31,33
12,14,18,20
12,14,26,28
12,14,28,30
12,14,30,32
12,14,32,34
12,14,34,36
12,14,33,35
12,14,35,37
12,14,37,39
12,14,39,41
12,14,41,43
12,14,43,45
12,14,45,47
12,14,47,49
12,14,49,51
12,14,51,53
12,14,36,38
12,14,38,40
12,14,40,42
12,14,42,44
12,14,44,46
12,14,46,48
12,14,48,50
12,14,50,52
12,14,52,54
12,14,54,56
12,14,53,55
12,14,55,57
12,14,57,59
12,14,59,61
12,14,61,63
12,14,63,65
12,14,65,67
12,14,67,69
12,14,69,71
12,14,71,1
12,14,56,58
12,14,58,60
12,14,60,62
12,14,62,64
12,14,64,66
12,14,66,68
12,14,68,70
12,14,70,72
12,14,72,2
12,14,2,4
13,15,16,18
13,15,18,20
13,15,24,26
13,15,26,28
13,15,28,30
13,15,30,32
13,15,32,34
13,15,17,19
13,15,21,23
13,15,23,25
13,15,27,29
13,15,29,31
13,15,31,33
13,15,33,35
13,15,35,37
13,15,34,36
13,15,36,38
13,15,38,40
13,15,40,42
13,15,42,44
13,15,44,46
13,15,46,48
13,15,48,50
13,15,50,52
13,15,52,54
13,15,37,39
13,15,39,41
13,15,41,43
13,15,43,45
13,15,45,47
13,15,47,49
13,15,49,51
13,15,51,53
13,15,53,55
13,15,55,57
13,15,54,56
13,15,56,58
13,15,58,60
13,15,60,62
13,15,62,64
13,15,64,66
13,15,66,68
13,15,68,70
13,15,70,72
13,15,72,2
13,15,57,59
13,15,59,61
13,15,61,63
13,15,63,65
13,15,65,67
13,15,67,69
13,15,69,71
13,15,71,1
13,15,1,3
14,16,15,17
14,16,17,19
14,16,19,21
14,16,25,27
14,16,27,29
14,16,29,31
14,16,31,33
14,16,33,35
14,16,18,20
14,16,22,24
14,16,24,26
