a,b,m,n
32,34,39,41
32,34,41,43
32,34,43,45
32,34,45,47
32,34,47,49
32,34,49,51
32,34,51,53
32,34,36,38
32,34,38,40
32,34,40,42
32,34,42,44
32,34,46,48
32,34,48,50
32,34,50,52
32,34,52,54
32,34,54,56
32,34,53,55
32,34,55,57
32,34,57,59
32,34,59,61
32,34,61,63
32,34,63,65
32,34,65,67
32,34,67,69
32,34,69,71
32,34,71,1
32,34,56,58
32,34,58,60
32,34,60,62
32,34,62,64
32,34,64,66
32,34,66,68
32,34,68,70
32,34,70,72
32,34,72,2
32,34,2,4
33,35,34,36
33,35,36,38
33,35,38,40
33,35,40,42
33,35,44,46
33,35,46,48
33,35,48,50
33,35,50,52
33,35,52,54
33,35,37,39
33,35,41,43
33,35,45,47
33,35,47,49
33,35,49,51
33,35,51,53
33,35,55,57
33,35,54,56
33,35,56,58
33,35,58,60
33,35,60,62
33,35,62,64
33,35,64,66
33,35,66,68
33,35,68,70
33,35,70,72
33,35,72,2
33,35,57,59
33,35,59,61
33,35,61,63
33,35,63,65
33,35,65,67
33,35,67,69
33,35,69,71
33,35,71,1
33,35,1,3
33,35,3,5
34,36,35,37
34,36,37,39
34,36,39,41
34,36,41,43
34,36,43,45
34,36,45,47
34,36,47,49
34,36,49,51
34,36,51,53
34,36,53,55
34,36,38,40
34,36,42,44
34,36,46,48
34,36,48,50
34,36,50,52
34,36,52,54
34,36,56,58
34,36,55,57
34,36,57,59
34,36,59,61
34,36,61,63
34,36,63,65
34,36,65,67
34,36,67,69
34,36,69,71
34,36,71,1
34,36,1,3
34,36,58,60
34,36,60,62
34,36,62,64
34,36,64,66
34,36,66,68
34,36,68,70
34,36,70,72
34,36,72,2
34,36,2,4
34,36,4,6
35,37,36,38
35,37,38,40
35,37,40,42
35,37,42,44
35,37,44,46
35,37,46,48
35,37,48,50
35,37,50,52
35,37,52,54
35,37,54,56
35,37,43,45
35,37,45,47
35,37,49,51
35,37,51,53
35,37,53,55
35,37,55,57
35,37,57,59
35,37,56,58
35,37,58,60
35,37,60,62
35,37,62,64
35,37,64,66
35,37,66,68
35,37,68,70
35,37,70,72
35,37,72,2
35,37,2,4
35,37,59,61
35,37,61,63
35,37,63,65
35,37,65,67
35,37,67,69
35,37,69,71
35,37,71,1
35,37,1,3
35,37,3,5
35,37,5,7
36,38,37,39
36,38,39,41
36,38,41,43
36,38,43,45
36,38,47,49
36,38,49,51
36,38,51,53
36,38,53,55
36,38,55,57
36,38,50,52
36,38,52,54
36,38,54,56
36,38,56,58
36,38,58,60
36,38,57,59
36,38,59,61
36,38,61,63
36,38,63,65
36,38,65,67
36,38,67,69
36,38,69,71
36,38,71,1
36,38,1,3
36,38,3,5
36,38,60,62
36,38,62,64
36,38,64,66
36,38,66,68
36,38,68,70
36,38,70,72
36,38,72,2
36,38,2,4
36,38,4,6
36,38,6,8
37,39,38,40
37,39,40,42
37,39,42,44
37,39,44,46
37,39,46,48
37,39,48,50
37,39,50,52
37,39,52,54
37,39,54,56
37,39,56,58
37,39,41,43
37,39,43,45
37,39,45,47
37,39,47,49
37,39,51,53
37,39,53,55
37,39,55,57
37,39,57,59
37,39,59,61
37,39,58,60
37,39,60,62
37,39,62,64
37,39,64,66
37,39,66,68
37,39,68,70
37,39,70,72
37,39,72,2
37,39,2,4
37,39,4,6
37,39,61,63
37,39,63,65
37,39,65,67
37,39,67,69
37,39,69,71
37,39,71,1
37,39,1,3
37,39,3,5
37,39,5,7
37,39,7,9
38,40,39,41
38,40,41,43
38,40,43,45
38,40,45,47
38,40,47,49
38,40,49,51
38,40,51,53
38,40,53,55
38,40,55,57
38,40,57,59
38,40,42,44
38,40,44,46
38,40,46,48
38,40,48,50
38,40,50,52
38,40,52,54
38,40,54,56
38,40,56,58
38,40,58,60
38,40,60,62
38,40,59,61
38,40,61,63
38,40,63,65
38,40,65,67
38,40,67,69
38,40,69,71
38,40,71,1
38,40,1,3
38,40,3,5
38,40,5,7
38,40,62,64
38,40,64,66
38,40,66,68
38,40,68,70
38,40,70,72
38,40,72,2
38,40,2,4
38,40,4,6
38,40,6,8
38,40,8,10
39,41,40,42
39,41,42,44
39,41,44,46
39,41,46,48
39,41,48,50
39,41,50,52
39,41,52,54
39,41,54,56
39,41,56,58
39,41,58,60
39,41,43,45
39,41,45,47
39,41,47,49
39,41,55,57
39,41,59,61
39,41,61,63
39,41,60,62
39,41,62,64
39,41,64,66
39,41,66,68
39,41,68,70
39,41,70,72
39,41,72,2
39,41,2,4
39,41,4,6
39,41,6,8
39,41,63,65
39,41,65,67
39,41,67,69
39,41,69,71
39,41,71,1
39,41,1,3
39,41,3,5
39,41,5,7
39,41,7,9
39,41,9,11
40,42,41,43
40,42,43,45
40,42,45,47
40,42,47,49
40,42,49,51
40,42,51,53
40,42,53,55
40,42,55,57
40,42,57,59
40,42,59,61
40,42,44,46
40,42,46,48
40,42,48,50
40,42,52,54
40,42,54,56
40,42,56,58
40,42,60,62
40,42,62,64
40,42,61,63
40,42,63,65
40,42,65,67
40,42,67,69
40,42,69,71
40,42,71,1
40,42,1,3
40,42,3,5
40,42,5,7
40,42,7,9
40,42,64,66
40,42,66,68
40,42,68,70
40,42,70,72
40,42,72,2
40,42,2,4
40,42,4,6
40,42,6,8
40,42,8,10
40,42,10,12
41,43,42,44
41,43,44,46
41,43,46,48
41,43,48,50
41,43,52,54
41,43,54,56
41,43,56,58
41,43,58,60
41,43,60,62
41,43,45,47
41,43,49,51
41,43,53,55
41,43,55,57
41,43,57,59
41,43,59,61
41,43,61,63
41,43,63,65
41,43,62,64
41,43,64,66
41,43,66,68
41,43,68,70
41,43,70,72
41,43,72,2
41,43,2,4
41,43,4,6
41,43,6,8
41,43,8,10
41,43,65,67
41,43,67,69
41,43,69,71
41,43,71,1
41,43,1,3
41,43,3,5
41,43,5,7
41,43,7,9
41,43,9,11
41,43,11,13
42,44,43,45
42,44,45,47
42,44,47,49
42,44,51,53
42,44,53,55
42,44,55,57
42,44,57,59
42,44,59,61
42,44,61,63
42,44,46,48
42,44,50,52
42,44,54,56
42,44,56,58
42,44,58,60
42,44,60,62
42,44,64,66
42,44,63,65
42,44,65,67
42,44,67,69
42,44,69,71
42,44,71,1
42,44,1,3
42,44,3,5
42,44,5,7
42,44,7,9
42,44,9,11
42,44,66,68
42,44,68,70
42,44,70,72
42,44,72,2
42,44,2,4
42,44,4,6
42,44,6,8
42,44,8,10
42,44,10,12
42,44,12,14
43,45,44,46
43,45,46,48
43,45,48,50
43,45,50,52
43,45,52,54
43,45,54,56
43,45,56,58
43,45,58,60
43,45,60,62
43,45,62,64
43,45,47,49
43,45,51,53
43,45,55,57
43,45,57,59
43,45,59,61
43,45,61,63
43,45,65,67
43,45,64,66
43,45,66,68
43,45,68,70
43,45,70,72
43,45,72,2
43,45,2,4
43,45,4,6
43,45,6,8
43,45,8,10
43,45,10,12
43,45,67,69
43,45,69,71
43,45,71,1
43,45,1,3
43,45,3,5
43,45,5,7
43,45,7,9
43,45,9,11
43,45,11,13
43,45,13,15
44,46,45,47
44,46,47,49
44,46,49,51
44,46,51,53
44,46,55,57
44,46,57,59
44,46,59,61
44,46,61,63
44,46,63,65
44,46,52,54
44,46,54,56
44,46,58,60
44,46,60,62
44,46,62,64
44,46,66,68
44,46,65,67
44,46,67,69
44,46,69,71
44,46,71,1
44,46,1,3
44,46,3,5
44,46,5,7
44,46,7,9
44,46,9,11
44,46,11,13
44,46,68,70
44,46,70,72
44,46,72,2
44,46,2,4
44,46,4,6
44,46,6,8
44,46,8,10
44,46,10,12
44,46,12,14
44,46,14,16
45,47,46,48
45,47,48,50
45,47,50,52
45,47,52,54
45,47,54,56
45,47,56,58
45,47,58,60
45,47,60,62
45,47,62,64
45,47,64,66
45,47,49,51
45,47,51,53
45,47,53,55
45,47,55,57
45,47,57,59
45,47,59,61
45,47,61,63
45,47,63,65
45,47,65,67
45,47,67,69
45,47,66,68
45,47,68,70
45,47,70,72
45,47,72,2
45,47,2,4
45,47,4,6
45,47,6,8
45,47,8,10
45,47,10,12
45,47,12,14
45,47,69,71
45,47,71,1
45,47,1,3
45,47,3,5
45,47,5,7
45,47,7,9
45,47,9,11
45,47,11,13
45,47,13,15
45,47,15,17
46,48,47,49
46,48,49,51
46,48,51,53
46,48,53,55
46,48,55,57
46,48,57,59
46,48,59,61
46,48,61,63
46,48,63,65
46,48,65,67
46,48,50,52
46,48,54,56
46,48,56,58
46,48,58,60
46,48,60,62
46,48,62,64
46,48,64,66
46,48,66,68
46,48,68,70
46,48,67,69
46,48,69,71
46,48,71,1
46,48,1,3
46,48,3,5
46,48,5,7
46,48,7,9
46,48,9,11
46,48,11,13
46,48,13,15
46,48,70,72
46,48,72,2
46,48,2,4
46,48,4,6
46,48,6,8
46,48,8,10
46,48,10,12
46,48,12,14
46,48,14,16
46,48,16,18
47,49,48,50
47,49,52,54
47,49,54,56
47,49,56,58
47,49,58,60
47,49,60,62
47,49,62,64
47,49,64,66
47,49,66,68
47,49,51,53
47,49,53,55
47,49,55,57
47,49,61,63
47,49,63,65
47,49,67,69
47,49,69,71
47,49,68,70
47,49,70,72
47,49,72,2
47,49,2,4
47,49,4,6
47,49,6,8
47,49,8,10
47,49,10,12
47,49,12,14
47,49,14,16
47,49,71,1
47,49,1,3
47,49,3,5
47,49,5,7
47,49,7,9
47,49,9,11
47,49,11,13
47,49,13,15
47,49,15,17
47,49,17,19
48,50,51,53
48,50,53,55
48,50,57,59
48,50,59,61
48,50,61,63
48,50,63,65
48,50,65,67
48,50,67,69
48,50,52,54
48,50,54,56
48,50,56,58
48,50,62,64
48,50,64,66
48,50,68,70
48,50,70,72
48,50,69,71
48,50,71,1
48,50,1,3
48,50,3,5
48,50,5,7
48,50,7,9
48,50,9,11
48,50,11,13
48,50,13,15
48,50,15,17
48,50,72,2
48,50,2,4
48,50,4,6
48,50,6,8
48,50,8,10
48,50,10,12
48,50,12,14
48,50,14,16
48,50,16,18
48,50,18,20
49,51,50,52
49,51,52,54
49,51,54,56
49,51,56,58
49,51,60,62
49,51,62,64
49,51,64,66
49,51,66,68
49,51,68,70
49,51,53,55
49,51,57,59
49,51,59,61
49,51,61,63
49,51,65,67
49,51,67,69
49,51,69,71
49,51,71,1
49,51,72,2
49,51,2,4
49,51,4,6
49,51,6,8
49,51,8,10
49,51,10,12
49,51,12,14
49,51,14,16
49,51,16,18
50,52,53,55
50,52,57,59
50,52,61,63
50,52,63,65
50,52,65,67
50,52,67,69
50,52,69,71
50,52,54,56
50,52,58,60
50,52,60,62
50,52,62,64
50,52,66,68
50,52,68,70
50,52,72,2
50,52,71,1
50,52,1,3
50,52,3,5
50,52,5,7
50,52,7,9
50,52,9,11
50,52,11,13
50,52,13,15
50,52,15,17
50,52,17,19
51,53,52,54
51,53,54,56
51,53,56,58
51,53,60,62
51,53,62,64
51,53,64,66
51,53,66,68
51,53,68,70
51,53,59,61
51,53,65,67
51,53,67,69
51,53,69,71
51,53,71,1
51,53,1,3
51,53,72,2
51,53,2,4
51,53,4,6
51,53,6,8
51,53,8,10
51,53,10,12
51,53,12,14
51,53,14,16
51,53,16,18
51,53,18,20
52,54,53,55
52,54,55,57
52,54,57,59
52,54,59,61
52,54,61,63
52,54,63,65
52,54,65,67
52,54,67,69
52,54,69,71
52,54,71,1
52,54,60,62
52,54,62,64
52,54,66,68
52,54,68,70
52,54,70,72
52,54,72,2
52,54,2,4
53,55,56,58
53,55,58,60
53,55,62,64
53,55,66,68
53,55,68,70
53,55,70,72
53,55,72,2
53,55,57,59
53,55,59,61
53,55,61,63
53,55,63,65
53,55,65,67
53,55,67,69
53,55,69,71
53,55,71,1
53,55,1,3
53,55,3,5
54,56,57,59
54,56,59,61
54,56,61,63
54,56,65,67
54,56,67,69
54,56,69,71
54,56,71,1
54,56,1,3
54,56,58,60
54,56,62,64
54,56,64,66
54,56,68,70
54,56,70,72
54,56,72,2
54,56,2,4
54,56,4,6
55,57,56,58
55,57,60,62
55,57,64,66
55,57,66,68
55,57,68,70
55,57,70,72
55,57,72,2
55,57,2,4
55,57,59,61
55,57,61,63
55,57,63,65
55,57,69,71
55,57,71,1
55,57,1,3
55,57,3,5
55,57,5,7
56,58,59,61
56,58,63,65
56,58,65,67
56,58,67,69
56,58,71,1
56,58,1,3
56,58,3,5
56,58,60,62
56,58,62,64
56,58,64,66
56,58,70,72
56,58,72,2
56,58,2,4
56,58,4,6
56,58,6,8
57,59,58,60
57,59,60,62
57,59,62,64
57,59,68,70
57,59,70,72
57,59,72,2
57,59,2,4
57,59,4,6
57,59,61,63
57,59,65,67
57,59,69,71
57,59,71,1
57,59,1,3
57,59,3,5
57,59,5,7
57,59,7,9
58,60,61,63
58,60,65,67
58,60,69,71
58,60,71,1
58,60,1,3
58,60,3,5
58,60,5,7
58,60,62,64
58,60,66,68
58,60,70,72
58,60,72,2
58,60,2,4
58,60,4,6
58,60,6,8
58,60,8,10
59,61,60,62
59,61,62,64
59,61,64,66
59,61,68,70
59,61,70,72
59,61,72,2
59,61,2,4
59,61,4,6
59,61,6,8
59,61,67,69
59,61,71,1
59,61,1,3
59,61,3,5
59,61,5,7
59,61,7,9
59,61,9,11
60,62,61,63
60,62,63,65
60,62,65,67
60,62,67,69
60,62,71,1
60,62,1,3
60,62,3,5
60,62,5,7
60,62,7,9
60,62,66,68
60,62,68,70
60,62,2,4
60,62,4,6
60,62,6,8
60,62,8,10
60,62,10,12
61,63,64,66
61,63,66,68
61,63,70,72
61,63,72,2
61,63,2,4
61,63,4,6
61,63,6,8
61,63,8,10
61,63,65,67
61,63,69,71
61,63,1,3
61,63,3,5
61,63,5,7
61,63,7,9
61,63,9,11
61,63,11,13
62,64,65,67
62,64,67,69
62,64,71,1
62,64,1,3
62,64,3,5
62,64,5,7
62,64,7,9
62,64,9,11
62,64,66,68
62,64,70,72
62,64,72,2
62,64,2,4
62,64,4,6
62,64,6,8
62,64,8,10
62,64,10,12
62,64,12,14
63,65,68,70
63,65,70,72
63,65,2,4
63,65,4,6
63,65,6,8
63,65,8,10
63,65,10,12
63,65,69,71
63,65,71,1
63,65,1,3
63,65,3,5
63,65,5,7
63,65,7,9
63,65,9,11
63,65,11,13
63,65,13,15
64,66,67,69
64,66,69,71
64,66,71,1
64,66,1,3
64,66,3,5
64,66,5,7
64,66,7,9
64,66,9,11
64,66,11,13
64,66,68,70
64,66,70,72
64,66,72,2
64,66,2,4
64,66,4,6
64,66,6,8
64,66,8,10
64,66,10,12
64,66,12,14
64,66,14,16
65,67,68,70
65,67,70,72
65,67,72,2
65,67,2,4
65,67,4,6
65,67,6,8
65,67,8,10
65,67,10,12
65,67,12,14
65,67,69,71
65,67,71,1
65,67,1,3
65,67,3,5
65,67,5,7
65,67,7,9
65,67,9,11
65,67,11,13
65,67,13,15
65,67,15,17
66,68,67,69
66,68,69,71
66,68,1,3
66,68,3,5
66,68,5,7
66,68,7,9
66,68,9,11
66,68,11,13
66,68,13,15
66,68,70,72
66,68,72,2
66,68,2,4
66,68,4,6
66,68,6,8
66,68,8,10
66,68,10,12
66,68,12,14
66,68,14,16
66,68,16,18
67,69,68,70
67,69,70,72
67,69,72,2
67,69,2,4
67,69,4,6
67,69,6,8
67,69,8,10
67,69,10,12
67,69,12,14
67,69,14,16
67,69,1,3
67,69,3,5
67,69,5,7
67,69,7,9
67,69,9,11
67,69,11,13
67,69,13,15
67,69,15,17
67,69,17,19
68,70,71,1
68,70,1,3
68,70,3,5
68,70,5,7
68,70,7,9
68,70,9,11
68,70,11,13
68,70,13,15
68,70,15,17
68,70,2,4
68,70,4,6
68,70,6,8
68,70,8,10
68,70,10,12
68,70,12,14
68,70,14,16
68,70,16,18
68,70,18,20
69,71,72,2
69,71,2,4
69,71,4,6
69,71,6,8
69,71,8,10
69,71,10,12
69,71,12,14
69,71,14,16
69,71,16,18
70,72,71,1
70,72,1,3
70,72,3,5
70,72,5,7
70,72,7,9
70,72,9,11
70,72,11,13
70,72,13,15
70,72,15,17
70,72,17,19
71,1,72,2
71,1,2,4
71,1,4,6
71,1,6,8
71,1,10,12
71,1,12,14
71,1,14,16
71,1,18,20
9,11,1,3
9,11,3,5
9,11,5,7
12,14,1,3
12,14,3,5
12,14,7,9
12,14,9,11
12,14,11,13
29,31,1,3
29,31,3,5
29,31,5,7
29,31,7,9
29,31,9,11
29,31,11,13
29,31,13,15
29,31,15,17
29,31,17,19
29,31,19,21
32,34,1,3
32,34,3,5
32,34,5,7
32,34,7,9
32,34,9,11
32,34,11,13
32,34,13,15
32,34,15,17
32,34,19,21
49,51,1,3
49,51,3,5
49,51,5,7
49,51,7,9
49,51,9,11
49,51,11,13
49,51,13,15
49,51,15,17
49,51,17,19
49,51,19,21
52,54,1,3
52,54,3,5
52,54,5,7
52,54,7,9
52,54,9,11
52,54,11,13
52,54,13,15
52,54,15,17
52,54,17,19
52,54,19,21
69,71,1,3
69,71,3,5
69,71,5,7
69,71,7,9
69,71,9,11
69,71,11,13
69,71,13,15
69,71,15,17
69,71,17,19
69,71,19,21
72,2,1,3
72,2,5,7
72,2,11,13
72,2,13,15
72,2,15,17
72,2,17,19
72,2,19,21
10,12,2,4
10,12,6,8
13,15,2,4
13,15,8,10
13,15,10,12
30,32,2,4
30,32,4,6
30,32,6,8
30,32,8,10
30,32,10,12
30,32,12,14
30,32,14,16
30,32,16,18
30,32,18,20
30,32,20,22
33,35,2,4
33,35,4,6
33,35,6,8
33,35,8,10
33,35,10,12
33,35,12,14
33,35,14,16
33,35,16,18
33,35,18,20
33,35,20,22
50,52,2,4
50,52,4,6
50,52,6,8
50,52,8,10
50,52,10,12
50,52,12,14
50,52,14,16
50,52,16,18
50,52,18,20
50,52,20,22
53,55,2,4
53,55,4,6
53,55,6,8
53,55,8,10
53,55,10,12
53,55,12,14
53,55,14,16
53,55,16,18
53,55,18,20
53,55,20,22
70,72,2,4
70,72,4,6
70,72,6,8
70,72,8,10
70,72,12,14
70,72,14,16
70,72,16,18
70,72,20,22
11,13,3,5
11,13,7,9
14,16,3,5
14,16,9,11
14,16,11,13
31,33,5,7
31,33,7,9
31,33,9,11
31,33,13,15
31,33,15,17
31,33,19,21
31,33,21,23
34,36,3,5
34,36,5,7
34,36,7,9
34,36,9,11
34,36,11,13
34,36,13,15
34,36,15,17
34,36,17,19
34,36,19,21
34,36,21,23
51,53,3,5
51,53,5,7
51,53,7,9
51,53,9,11
51,53,11,13
51,53,13,15
51,53,15,17
51,53,17,19
51,53,19,21
51,53,21,23
54,56,3,5
54,56,5,7
54,56,7,9
54,56,9,11
54,56,11,13
54,56,13,15
54,56,15,17
54,56,17,19
54,56,19,21
54,56,21,23
71,1,5,7
71,1,7,9
71,1,11,13
71,1,13,15
71,1,15,17
71,1,19,21
71,1,21,23
12,14,4,6
12,14,6,8
12,14,8,10
15,17,4,6
15,17,8,10
15,17,10,12
15,17,12,14
15,17,14,16
32,34,6,8
32,34,8,10
32,34,10,12
32,34,12,14
32,34,14,16
32,34,16,18
32,34,20,22
32,34,22,24
35,37,4,6
35,37,6,8
35,37,8,10
35,37,10,12
35,37,12,14
35,37,14,16
35,37,16,18
35,37,18,20
35,37,20,22
35,37,22,24
52,54,4,6
52,54,6,8
52,54,8,10
52,54,10,12
52,54,12,14
52,54,14,16
52,54,16,18
52,54,18,20
52,54,20,22
52,54,22,24
55,57,4,6
55,57,6,8
55,57,8,10
55,57,10,12
55,57,12,14
55,57,14,16
55,57,16,18
55,57,18,20
55,57,20,22
55,57,22,24
72,2,4,6
72,2,6,8
72,2,8,10
72,2,12,14
72,2,14,16
72,2,18,20
72,2,20,22
72,2,22,24
13,15,5,7
13,15,7,9
13,15,9,11
16,18,5,7
16,18,7,9
16,18,11,13
16,18,13,15
16,18,15,17
33,35,5,7
33,35,9,11
33,35,11,13
33,35,13,15
33,35,17,19
33,35,19,21
36,38,5,7
36,38,7,9
36,38,9,11
36,38,11,13
36,38,13,15
36,38,15,17
36,38,17,19
36,38,19,21
36,38,21,23
36,38,23,25
53,55,5,7
53,55,7,9
53,55,9,11
53,55,11,13
53,55,13,15
53,55,15,17
53,55,17,19
53,55,19,21
53,55,21,23
53,55,23,25
56,58,5,7
56,58,7,9
56,58,9,11
56,58,11,13
56,58,13,15
56,58,15,17
56,58,17,19
56,58,19,21
56,58,21,23
56,58,23,25
14,16,6,8
14,16,8,10
14,16,10,12
17,19,6,8
17,19,12,14
17,19,14,16
34,36,6,8
34,36,8,10
34,36,10,12
34,36,12,14
34,36,14,16
34,36,16,18
34,36,18,20
34,36,20,22
34,36,22,24
37,39,6,8
37,39,8,10
37,39,10,12
37,39,12,14
37,39,14,16
37,39,16,18
37,39,18,20
37,39,20,22
37,39,22,24
37,39,24,26
54,56,6,8
54,56,8,10
54,56,10,12
54,56,12,14
54,56,14,16
54,56,16,18
54,56,18,20
54,56,20,22
54,56,22,24
54,56,24,26
57,59,6,8
57,59,8,10
57,59,10,12
57,59,12,14
57,59,14,16
57,59,16,18
57,59,18,20
57,59,20,22
57,59,22,24
57,59,24,26
15,17,7,9
18,20,7,9
18,20,11,13
18,20,13,15
18,20,15,17
35,37,7,9
35,37,9,11
35,37,11,13
35,37,13,15
35,37,15,17
35,37,17,19
35,37,19,21
35,37,21,23
35,37,25,27
38,40,7,9
38,40,9,11
38,40,11,13
38,40,13,15
38,40,15,17
38,40,17,19
38,40,19,21
38,40,21,23
38,40,23,25
38,40,25,27
55,57,7,9
55,57,9,11
55,57,11,13
55,57,13,15
55,57,15,17
55,57,17,19
55,57,19,21
55,57,21,23
55,57,23,25
55,57,25,27
58,60,7,9
58,60,9,11
58,60,11,13
58,60,13,15
58,60,15,17
58,60,17,19
58,60,19,21
58,60,21,23
58,60,23,25
58,60,25,27
16,18,8,10
19,21,8,10
19,21,12,14
19,21,14,16
19,21,16,18
36,38,8,10
36,38,10,12
36,38,12,14
36,38,14,16
36,38,16,18
36,38,18,20
36,38,20,22
36,38,22,24
36,38,24,26
39,41,8,10
39,41,10,12
39,41,12,14
39,41,14,16
39,41,16,18
39,41,18,20
39,41,20,22
39,41,22,24
39,41,24,26
39,41,26,28
56,58,8,10
56,58,10,12
56,58,12,14
56,58,14,16
56,58,16,18
56,58,18,20
56,58,20,22
56,58,22,24
56,58,24,26
56,58,26,28
59,61,8,10
59,61,10,12
59,61,12,14
59,61,14,16
59,61,16,18
59,61,18,20
59,61,20,22
59,61,22,24
59,61,24,26
59,61,26,28
17,19,13,15
20,22,9,11
20,22,11,13
20,22,15,17
20,22,17,19
20,22,19,21
37,39,9,11
37,39,11,13
37,39,13,15
37,39,15,17
37,39,17,19
37,39,19,21
37,39,21,23
37,39,23,25
37,39,25,27
37,39,27,29
40,42,9,11
40,42,11,13
40,42,13,15
40,42,15,17
40,42,17,19
40,42,19,21
40,42,21,23
40,42,23,25
40,42,25,27
40,42,27,29
57,59,9,11
57,59,11,13
57,59,13,15
57,59,15,17
57,59,17,19
57,59,19,21
57,59,21,23
57,59,23,25
57,59,25,27
57,59,27,29
60,62,9,11
60,62,11,13
60,62,13,15
60,62,15,17
60,62,17,19
60,62,19,21
60,62,21,23
60,62,23,25
60,62,25,27
60,62,27,29
18,20,10,12
18,20,12,14
18,20,14,16
21,23,10,12
21,23,16,18
21,23,18,20
21,23,20,22
38,40,10,12
38,40,12,14
38,40,14,16
38,40,16,18
38,40,18,20
38,40,20,22
38,40,22,24
38,40,24,26
38,40,26,28
38,40,28,30
41,43,10,12
41,43,12,14
41,43,14,16
41,43,16,18
41,43,18,20
41,43,20,22
41,43,22,24
41,43,24,26
41,43,26,28
41,43,28,30
58,60,10,12
58,60,12,14
58,60,14,16
58,60,16,18
58,60,18,20
58,60,20,22
58,60,22,24
58,60,24,26
58,60,26,28
58,60,28,30
61,63,10,12
61,63,12,14
61,63,14,16
61,63,16,18
61,63,18,20
61,63,20,22
61,63,22,24
61,63,24,26
61,63,26,28
61,63,28,30
19,21,11,13
19,21,15,17
22,24,11,13
22,24,15,17
22,24,17,19
22,24,19,21
22,24,21,23
39,41,11,13
39,41,13,15
39,41,15,17
39,41,17,19
39,41,19,21
39,41,21,23
39,41,23,25
39,41,27,29
39,41,29,31
42,44,11,13
42,44,13,15
42,44,15,17
42,44,17,19
42,44,19,21
42,44,21,23
42,44,23,25
42,44,25,27
42,44,27,29
42,44,29,31
59,61,11,13
59,61,13,15
59,61,15,17
59,61,17,19
59,61,19,21
59,61,21,23
59,61,23,25
59,61,25,27
59,61,27,29
59,61,29,31
62,64,11,13
62,64,13,15
62,64,15,17
62,64,17,19
62,64,19,21
62,64,21,23
62,64,23,25
62,64,25,27
62,64,27,29
62,64,29,31
20,22,16,18
23,25,12,14
23,25,16,18
23,25,18,20
23,25,20,22
40,42,12,14
40,42,14,16
40,42,16,18
40,42,18,20
40,42,20,22
40,42,22,24
40,42,24,26
40,42,26,28
40,42,30,32
43,45,12,14
43,45,14,16
43,45,16,18
43,45,18,20
43,45,20,22
43,45,22,24
43,45,24,26
43,45,26,28
43,45,28,30
43,45,30,32
60,62,12,14
60,62,14,16
60,62,16,18
60,62,18,20
60,62,20,22
60,62,22,24
60,62,24,26
60,62,26,28
60,62,28,30
60,62,30,32
63,65,12,14
63,65,14,16
63,65,16,18
63,65,18,20
63,65,20,22
63,65,22,24
63,65,24,26
63,65,26,28
63,65,28,30
63,65,30,32
21,23,13,15
21,23,15,17
21,23,17,19
24,26,13,15
24,26,15,17
24,26,19,21
24,26,21,23
24,26,23,25
41,43,13,15
41,43,15,17
41,43,17,19
41,43,19,21
41,43,21,23
41,43,25,27
41,43,27,29
41,43,31,33
44,46,13,15
44,46,15,17
44,46,17,19
44,46,19,21
44,46,21,23
44,46,23,25
44,46,25,27
44,46,27,29
44,46,29,31
44,46,31,33
61,63,13,15
61,63,15,17
61,63,17,19
61,63,19,21
61,63,21,23
61,63,23,25
61,63,25,27
61,63,27,29
61,63,29,31
61,63,31,33
64,66,13,15
64,66,15,17
64,66,17,19
64,66,19,21
64,66,21,23
64,66,23,25
64,66,25,27
64,66,27,29
64,66,29,31
64,66,31,33
22,24,14,16
22,24,16,18
22,24,18,20
25,27,14,16
25,27,20,22
25,27,22,24
42,44,14,16
42,44,16,18
42,44,18,20
42,44,20,22
42,44,22,24
42,44,26,28
42,44,28,30
42,44,30,32
42,44,32,34
45,47,14,16
45,47,16,18
45,47,18,20
45,47,20,22
45,47,22,24
45,47,24,26
45,47,26,28
45,47,28,30
45,47,30,32
45,47,32,34
62,64,14,16
62,64,16,18
62,64,18,20
62,64,20,22
62,64,22,24
62,64,24,26
62,64,26,28
62,64,28,30
62,64,30,32
62,64,32,34
65,67,14,16
65,67,16,18
65,67,18,20
65,67,20,22
65,67,22,24
65,67,24,26
65,67,26,28
65,67,28,30
65,67,30,32
65,67,32,34
23,25,15,17
26,28,15,17
26,28,17,19
26,28,21,23
26,28,23,25
26,28,25,27
43,45,15,17
43,45,17,19
43,45,19,21
43,45,21,23
43,45,23,25
43,45,25,27
43,45,27,29
43,45,29,31
46,48,15,17
46,48,17,19
46,48,19,21
46,48,21,23
46,48,23,25
46,48,25,27
46,48,27,29
46,48,29,31
46,48,31,33
46,48,33,35
63,65,15,17
63,65,17,19
63,65,19,21
63,65,21,23
63,65,23,25
63,65,25,27
63,65,27,29
63,65,29,31
63,65,31,33
63,65,33,35
66,68,15,17
66,68,17,19
66,68,19,21
66,68,21,23
66,68,23,25
66,68,25,27
66,68,27,29
66,68,29,31
66,68,31,33
66,68,33,35
24,26,16,18
27,29,16,18
27,29,20,22
27,29,22,24
27,29,24,26
27,29,26,28
44,46,16,18
44,46,18,20
44,46,20,22
44,46,22,24
44,46,24,26
44,46,26,28
44,46,28,30
44,46,30,32
47,49,16,18
47,49,18,20
47,49,20,22
47,49,22,24
