1372
193	1 7	1 9	1 18	1 20	-363.02863114423855
194	1 7	1 9	1 20	1 22	-242.13883129079863
195	1 7	1 9	1 24	1 26	574.003062148159
196	1 7	1 9	1 26	1 28	-231.76996351183448
197	1 7	1 9	1 11	1 13	-362.4450662466413
198	1 7	1 9	1 15	1 17	974.2316371172001
199	1 7	1 9	1 19	1 21	-301.19579703729465
200	1 7	1 9	1 23	1 25	650.9855366444135
201	1 7	1 9	1 27	1 29	-211.44630157539385
202	1 7	1 9	1 28	1 30	-183.50770257638663
203	1 7	1 9	1 32	1 34	393.58474230447916
204	1 7	1 9	1 34	1 36	-151.56890343255532
205	1 7	1 9	1 36	1 38	-129.3166355489171
206	1 7	1 9	1 40	1 42	289.259199821081
207	1 7	1 9	1 42	1 44	-107.84352071446575
208	1 7	1 9	1 44	1 46	-99.66763791763793
209	1 7	1 9	1 31	1 33	445.0132724011148
210	1 7	1 9	1 33	1 35	-154.51015814422934
211	1 7	1 9	1 37	1 39	-94.31757844824685
212	1 7	1 9	1 39	1 41	307.976678061297
213	1 7	1 9	1 41	1 43	-96.802075269541
214	1 7	1 9	1 45	1 47	-71.65790623028448
215	1 7	1 9	1 54	1 56	-36.67359643166431
216	1 7	1 9	1 62	1 64	-28.710203060501186
217	1 7	1 9	1 53	1 55	-59.86660559861136
218	1 7	1 9	1 71	1 1	850.4612231302478
219	1 8	1 10	1 9	1 11	-249.84204165399817
220	1 8	1 10	1 11	1 13	-406.1883996212121
221	1 8	1 10	1 15	1 17	798.6766705516706
222	1 8	1 10	1 17	1 19	-176.4708810753472
223	1 8	1 10	1 19	1 21	-311.623920552677
224	1 8	1 10	1 25	1 27	-137.92784383772465
225	1 8	1 10	1 27	1 29	-206.91762529116056
226	1 8	1 10	1 12	1 14	-334.3261263489969
227	1 8	1 10	1 16	1 18	925.9811787714893
228	1 8	1 10	1 18	1 20	-337.3260424290217
229	1 8	1 10	1 20	1 22	-258.83209064685684
230	1 8	1 10	1 24	1 26	600.126086920319
231	1 8	1 10	1 26	1 28	-188.8380514036195
232	1 8	1 10	1 28	1 30	-192.4539446418974
233	1 8	1 10	1 31	1 33	398.83441549826966
234	1 8	1 10	1 33	1 35	-102.62077975730392
235	1 8	1 10	1 35	1 37	-137.84643943784408
236	1 8	1 10	1 39	1 41	277.79178804306684
237	1 8	1 10	1 41	1 43	-71.23030729180107
238	1 8	1 10	1 43	1 45	-100.86675574444337
239	1 8	1 10	1 45	1 47	-75.95508577340368
240	1 8	1 10	1 47	1 49	202.77006476002822
241	1 8	1 10	1 32	1 34	393.95657010793326
242	1 8	1 10	1 34	1 36	-122.09417809778517
243	1 8	1 10	1 36	1 38	-133.24400573480864
244	1 8	1 10	1 40	1 42	282.4535818771807
245	1 8	1 10	1 42	1 44	-89.77172392200214
