Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
,Mixed / non conventional,5,7,2,4,2143.56,0.61,0.0,8.96,-37.269,0.205,-181.8,,,-11.780972450961722,2141.780791584841,-71,-0.002229164377325297,-0.40571428571428214,-182.00285714285715,0.0,
,Mixed / non conventional,5,7,4,6,3589.48,0.98,0.0,192.75,78.01,0.205,380.5365853658537,,,9.424777960769378,3586.472823022533,-208,-0.008435697641200226,-3.2236886067490786,382.1484296692282,0.0,
,Mixed / non conventional,5,7,71,1,8547.07,0.13,0.0,479.31,-416.613,3.654,-114.01559934318556,,,-74.97224502126149,8548.005450203287,344,0.026582059697688253,3.0715941173048975,-115.551396401838,0.0,0.39571
,Mixed / non conventional,5,7,1,3,2407.89,1.15,0.0,44.49,-44.098,0.69,-63.91014492753624,,,-37.699111843077524,2409.3557015304823,-11,0.026738356938647765,1.6863077182339055,-63.066991068419284,0.0,
,Mixed / non conventional,6,8,9,11,182.3,0.04,0.0,171.89,-49.746,3.215,-15.473094867807156,,,-11.780972450961722,182.2881043687533,347,0.00939959917715975,0.14612766050628245,-15.546158698060296,0.0,0.91412
,Mixed / non conventional,6,8,11,13,2186.96,0.19,0.0,79.93,-49.127,1.852,-26.526457883369332,,,-82.46680715673212,2187.552286818995,348,0.01316421108558003,0.35151359048169795,-26.702214678610183,0.0,0.73673
,Mixed / non conventional,6,8,15,17,95520.27,0.03,0.0,-289.0,-1099.57,6.265,-175.5099760574621,,,-544.2809272344314,95526.73250744832,350,0.04312899655859672,7.73640075413212,-179.37817643452814,0.0,-0.63628
,Mixed / non conventional,6,8,19,21,-14961.05,0.11,0.0,-32.48,50.882,5.73,8.879930191972075,,,-1684.6790604875298,-14959.832453006366,352,-0.04855060060915334,-0.4209082695437445,8.669476057200203,0.0,-0.34523
,Mixed / non conventional,6,8,21,23,-333733.72,0.09,0.0,223.29,734.418,5.73,128.17068062827224,,,-2603.594911662535,-333704.5319080935,353,0.04980666813830616,6.546791490686843,131.44407637361564,0.0,-0.10018
,Mixed / non conventional,6,8,23,25,473317.28,0.04,0.0,-175.7,-778.3,6.257,-124.38868467316605,,,-3805.254101660642,473330.55255273735,354,0.02864393497869031,3.614751752950795,-126.19606054964146,0.0,-0.05609
,Mixed / non conventional,6,8,12,14,-3965.66,0.28,0.0,-205.02,48.998,1.863,26.30059044551798,,,-150.79644737231,-3966.0356029782315,357,-0.011843433505133324,-0.30965560132534264,26.14576264485531,0.0,-1.88538
,Mixed / non conventional,6,8,14,16,-186575.11,1.75,0.0,-54.49,62.041,0.125,496.328,,,-376.99111843077526,-187111.2478285098,358,-0.008470482268003033,-4.186407079646017,494.234796460177,0.0,-1.6398
,Mixed / non conventional,6,8,16,18,363083.06,1.74,0.0,-26.69,-60.367,0.125,-482.936,,,-753.9822368615518,364125.16554097034,359,0.0034081868940436014,1.648745762711883,-483.7603728813559,0.0,-1.76014
,Mixed / non conventional,6,8,20,22,-104946.6,0.05,0.0,33.38,310.204,6.24,49.71217948717948,,,-2111.150263212339,-104949.880809218,361,0.010889293516168394,0.5442940023396261,49.984326488349296,0.0,0.90952
,Mixed / non conventional,6,8,22,24,-650326.31,0.73,0.0,-150.84,41.074,0.2,205.36999999999998,,,-3166.7253948185225,-650350.3943338799,362,0.006544182436030477,1.3483908045977557,206.04419540229884,0.0,-1.34699
,Mixed / non conventional,6,8,24,26,1097849.88,0.67,0.0,218.83,-48.538,0.2,-242.68999999999997,,,-4523.893421169273,1097903.6943835707,363,-0.011145870020095587,-2.6899999999999693,-241.34499999999997,0.0,-1.18474
,Mixed / non conventional,6,8,26,28,-43085.79,0.06,0.0,-7.85,43.211,6.238,6.927059955113818,,,-6220.353454107836,-43088.76131860431,364,-0.020703936069030364,-0.14194796565400214,6.856085972286817,0.0,-0.24068
,Mixed / non conventional,6,8,28,30,-421096.38,0.05,0.0,-40.48,316.737,6.238,50.77540878486695,,,-8293.804605477077,-421121.3192249107,365,-0.0022614133048609463,-0.11469449915266239,50.718061535290616,0.0,-0.20559
,Mixed / non conventional,6,8,27,29,-148302.66,0.21,0.0,-117.8,49.54,2.408,20.57308970099668,,,-7207.598945498374,-148282.57963454712,366,-0.013329899860564166,-0.27242154954901565,20.43687892622217,0.0,-0.39256
,Mixed / non conventional,6,8,29,31,-802171.31,0.22,0.0,64.27,203.652,2.408,84.57308970099668,,,-9483.682823024179,-802064.3580874252,367,0.015667835206546684,1.3355397406276808,85.24085957131052,0.0,-0.81527
,Mixed / non conventional,6,8,31,33,1212954.88,0.03,0.0,-277.37,-621.274,6.245,-99.48342674139312,,,-12193.306486745501,1213031.9126094996,368,0.02099920373711806,2.1112399252735514,-100.53904670402989,0.0,-0.86021
,Mixed / non conventional,6,8,33,35,-93025.89,0.03,0.0,322.63,37.789,6.245,6.0510808646917535,,,-15374.169048504882,-93030.34013994412,369,-0.03200758732414593,-0.19062970078486607,5.9557660142993205,0.0,-0.13508
,Mixed / non conventional,6,8,35,37,-427205.03,0.38,0.0,-203.73,49.671,2.217,22.404600811907983,,,-19063.969620146378,-427120.6292297206,370,-0.03207926850113998,-0.7073771345900148,22.050912244612974,0.0,-0.1404
,Mixed / non conventional,6,8,37,39,-1301389.13,0.39,0.0,177.96,123.801,2.217,55.84167794316644,,,-23300.40731351191,-1301133.841145732,371,-0.0008994018944191443,-0.05020153525167359,55.8165771755406,0.0,-0.91492
,Mixed / non conventional,6,8,39,41,2156951.25,0.04,0.0,-200.03,-478.992,6.245,-76.70008006405125,,,-28121.181240446072,2156896.85263791,372,-0.008657146276098348,-0.6611420109538955,-76.3695090585743,0.0,-0.74753
,Mixed / non conventional,6,8,41,43,-210738.42,0.03,0.0,220.43,39.21,6.245,6.278622898318655,,,-33563.99051278921,-210735.63939254844,373,-0.018637819162728518,-0.11593940929766777,6.220653193669822,0.0,-0.31198
,Mixed / non conventional,6,8,43,45,-841421.5,0.28,0.0,-3.92,49.632,2.34,21.21025641025641,,,-39666.53424238932,-841337.3621872935,374,-0.03283714287407349,-0.6852336623037267,20.867639579104548,0.0,-0.85043
,Mixed / non conventional,6,8,45,47,-1648984.25,0.28,0.0,14.26,83.033,2.34,35.48418803418804,,,-46466.51154108182,-1648826.4328165157,375,-0.017858798957397427,-0.6280964561013676,35.17013980613736,0.0,-0.41945
,Mixed / non conventional,6,8,30,32,-961964.75,0.31,0.0,-0.56,45.954,0.515,89.23106796116505,,,-10781.945987120022,-962084.5551303175,376,-0.014386405099707613,-1.2745462220346155,88.59379485014775,0.0,-0.34403
,Mixed / non conventional,6,8,32,34,1903128.5,0.31,0.0,-92.22,-71.433,0.515,-138.70485436893205,,,-13722.476710880474,1903374.1337637377,377,-0.00556492157117985,-0.7697398651152412,-138.31998443637443,0.0,-0.57628
,Mixed / non conventional,6,8,34,36,-172678.55,0.04,0.0,104.64,50.634,5.03,10.066401590457255,,,-17153.095888600008,-172669.95173426892,378,-0.0119029045157502,-0.11911053627833823,10.006846322318086,0.0,0.5543
,Mixed / non conventional,6,8,36,38,-867919.38,0.05,0.0,-30.09,206.777,5.03,41.10874751491053,,,-21111.502632123484,-867867.4313643335,379,-0.017000628622917055,-0.6929839681125003,40.76225553085428,0.0,-0.39898
,Mixed / non conventional,6,8,38,40,-1408590.88,0.12,0.0,79.44,47.773,0.869,54.9746835443038,,,-25635.396053292803,-1409297.7855626664,380,-0.01940788140999075,-1.0566881001124528,54.446339494247574,0.0,-0.52593
,Mixed / non conventional,6,8,40,42,3051339.75,0.03,0.0,-60.22,-86.238,0.869,-99.23820483314154,,,-30762.475263951364,3052812.8214184553,381,-0.010057846310526627,-0.9931282467082809,-98.74164070978739,0.0,-0.58781
,Mixed / non conventional,6,8,42,44,-440552.19,0.07,0.0,-7.7,50.513,4.189,12.058486512294103,,,-36530.43937594186,-440501.81050297234,382,-0.04060614893706433,-0.4799051492899302,11.818533937649137,0.0,-0.81665
,Mixed / non conventional,6,8,44,46,-1294481.38,0.06,0.0,-188.38,126.16,4.189,30.116973024588205,,,-42976.98750110756,-1294336.7732489207,383,-0.018981039831320216,-0.5662771995385008,29.833834424818953,0.0,-0.50056
