,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,3.00,5.00,22.00,24.00,-47633.94,0.17,0.00,-139.05,48.411,5.414,ERT72
,Mixed / non conventional,3.00,5.00,7.00,9.00,18390.37,0.28,0.00,-75.46,-813.888,1.668,ERT72
,Mixed / non conventional,3.00,5.00,9.00,11.00,-6465.07,0.35,0.00,55.22,71.530,1.668,ERT72
,Mixed / non conventional,3.00,5.00,11.00,13.00,-140146.14,0.27,0.00,77.81,620.234,1.668,ERT72
,Mixed / non conventional,3.00,5.00,13.00,15.00,-22741.42,0.29,0.00,-40.14,50.322,1.668,ERT72
,Mixed / non conventional,3.00,5.00,15.00,17.00,471376.94,0.28,0.00,-144.82,-596.039,1.668,ERT72
,Mixed / non conventional,3.00,5.00,17.00,19.00,-150434.20,0.29,0.00,73.55,118.886,1.668,ERT72
,Mixed / non conventional,3.00,5.00,19.00,21.00,-594975.31,0.28,0.00,-18.09,313.470,1.668,ERT72
,Mixed / non conventional,3.00,5.00,21.00,23.00,-243057.22,0.28,0.00,143.46,89.640,1.668,ERT72
,Mixed / non conventional,3.00,5.00,23.00,25.00,1561148.00,0.28,0.00,-212.78,-418.730,1.668,ERT72
,Mixed / non conventional,3.00,5.00,25.00,27.00,-528618.31,0.28,0.00,280.45,106.339,1.668,ERT72
,Mixed / non conventional,3.00,5.00,24.00,26.00,1657949.13,0.09,0.00,-20.22,-588.420,2.558,ERT72
,Mixed / non conventional,3.00,5.00,26.00,28.00,-863384.38,0.10,0.00,243.51,232.881,2.558,ERT72
,Mixed / non conventional,3.00,5.00,28.00,30.00,-1123247.75,0.11,0.00,-115.74,235.648,2.558,ERT72
,Mixed / non conventional,3.00,5.00,30.00,32.00,-304376.50,0.10,0.00,26.39,50.644,2.558,ERT72
,Mixed / non conventional,3.00,5.00,32.00,34.00,3052220.25,0.10,0.00,-104.32,-409.552,2.558,ERT72
,Mixed / non conventional,3.00,5.00,34.00,36.00,-1387489.75,0.09,0.00,160.92,152.327,2.558,ERT72
,Mixed / non conventional,3.00,5.00,36.00,38.00,-1687876.50,0.11,0.00,-34.85,153.536,2.558,ERT72
,Mixed / non conventional,3.00,5.00,38.00,40.00,-719510.50,0.10,0.00,-7.39,54.837,2.558,ERT72
,Mixed / non conventional,3.00,5.00,40.00,42.00,4667928.50,0.09,0.00,-120.66,-301.027,2.558,ERT72
,Mixed / non conventional,3.00,5.00,42.00,44.00,-1985242.13,0.10,0.00,151.21,109.289,2.558,ERT72
,Mixed / non conventional,3.00,5.00,27.00,29.00,-1161676.50,0.17,0.00,-120.47,181.786,1.687,ERT72
,Mixed / non conventional,3.00,5.00,29.00,31.00,-676795.06,0.16,0.00,-1.89,83.214,1.687,ERT72
,Mixed / non conventional,3.00,5.00,31.00,33.00,3029675.00,0.16,0.00,-79.09,-298.007,1.687,ERT72
,Mixed / non conventional,3.00,5.00,33.00,35.00,-1032864.81,0.17,0.00,318.63,82.546,1.687,ERT72
,Mixed / non conventional,3.00,5.00,35.00,37.00,-1728284.75,0.16,0.00,-298.99,113.751,1.687,ERT72
,Mixed / non conventional,3.00,5.00,37.00,39.00,-1176987.38,0.18,0.00,54.33,64.554,1.687,ERT72
,Mixed / non conventional,3.00,5.00,39.00,41.00,4530042.00,0.17,0.00,-102.74,-209.228,1.687,ERT72
,Mixed / non conventional,3.00,5.00,41.00,43.00,-1453014.25,0.17,0.00,388.22,57.044,1.687,ERT72
,Mixed / non conventional,3.00,5.00,43.00,45.00,-2369187.75,0.17,0.00,-254.52,79.724,1.687,ERT72
,Mixed / non conventional,3.00,5.00,45.00,47.00,-1726714.50,0.17,0.00,62.95,50.181,1.687,ERT72
,Mixed / non conventional,3.00,5.00,44.00,46.00,-2379848.00,0.13,0.00,-166.72,196.923,4.468,ERT72
,Mixed / non conventional,3.00,5.00,46.00,48.00,-1005486.13,0.17,0.00,65.81,72.105,4.468,ERT72
,Mixed / non conventional,3.00,5.00,48.00,50.00,6405806.50,0.13,0.00,-15.66,-400.722,4.468,ERT72
,Mixed / non conventional,3.00,5.00,50.00,52.00,-2652042.00,0.13,0.00,73.80,145.593,4.468,ERT72
,Mixed / non conventional,3.00,5.00,52.00,54.00,-3111280.25,0.14,0.00,-41.84,150.708,4.468,ERT72
,Mixed / non conventional,3.00,5.00,54.00,56.00,-1477169.38,0.13,0.00,133.78,63.450,4.468,ERT72
,Mixed / non conventional,3.00,5.00,56.00,58.00,8391442.00,0.12,0.00,-188.21,-321.130,4.468,ERT72
,Mixed / non conventional,3.00,5.00,58.00,60.00,-3551401.50,0.12,0.00,71.64,121.607,4.468,ERT72
,Mixed / non conventional,3.00,5.00,60.00,62.00,-3940669.00,0.12,0.00,260.89,121.208,4.468,ERT72
,Mixed / non conventional,3.00,5.00,62.00,64.00,-1833884.13,0.15,0.00,-79.10,50.858,4.468,ERT72
,Mixed / non conventional,3.00,5.00,47.00,49.00,6145389.00,0.05,0.00,-210.33,-335.794,3.648,ERT72
,Mixed / non conventional,3.00,5.00,49.00,51.00,-1761793.75,0.03,0.00,259.67,84.235,3.648,ERT72
,Mixed / non conventional,3.00,5.00,51.00,53.00,-3201327.50,0.03,0.00,-154.24,134.691,3.648,ERT72
,Mixed / non conventional,3.00,5.00,53.00,55.00,-2469790.75,0.03,0.00,165.81,91.928,3.648,ERT72
,Mixed / non conventional,3.00,5.00,55.00,57.00,8043691.00,0.05,0.00,-231.48,-266.109,3.648,ERT72
,Mixed / non conventional,3.00,5.00,57.00,59.00,-1998729.00,0.07,0.00,317.92,59.042,3.648,ERT72
,Mixed / non conventional,3.00,5.00,59.00,61.00,-4059918.75,0.00,0.00,-56.62,107.517,3.648,ERT72
,Mixed / non conventional,3.00,5.00,61.00,63.00,-3283127.50,0.04,0.00,9.66,78.257,3.648,ERT72
,Mixed / non conventional,3.00,5.00,63.00,65.00,10201422.00,0.00,0.00,-64.57,-219.608,3.648,ERT72
,Mixed / non conventional,3.00,5.00,65.00,67.00,-2610525.50,0.03,0.00,20.47,50.935,3.648,ERT72
,Mixed / non conventional,3.00,5.00,64.00,66.00,10639530.00,0.15,0.00,-224.29,-319.391,5.345,ERT72
,Mixed / non conventional,3.00,5.00,66.00,68.00,-4538151.00,0.15,0.00,166.57,123.640,5.345,ERT72
,Mixed / non conventional,3.00,5.00,68.00,70.00,-4856848.00,0.15,0.00,100.01,120.482,5.345,ERT72
,Mixed / non conventional,3.00,5.00,70.00,72.00,-1990908.88,0.15,0.00,-186.19,45.094,5.345,ERT72
,Mixed / non conventional,3.00,5.00,72.00,2.00,5754.37,0.14,0.00,-14.55,-3265.781,5.345,ERT72
,Mixed / non conventional,3.00,5.00,2.00,4.00,3726.69,0.09,0.00,294.82,2113.635,5.345,ERT72
,Mixed / non conventional,3.00,5.00,67.00,69.00,-5055593.00,0.15,0.00,-96.52,73.260,2.981,ERT72
,Mixed / non conventional,3.00,5.00,69.00,71.00,-3851299.00,0.17,0.00,-97.03,50.883,2.981,ERT72
,Mixed / non conventional,3.00,5.00,71.00,1.00,10280.81,0.13,0.00,7.55,-1221.411,2.981,ERT72
,Mixed / non conventional,4.00,6.00,5.00,7.00,2618.50,0.18,0.00,-430.41,1087.175,3.913,ERT72
,Mixed / non conventional,4.00,6.00,7.00,9.00,5936.65,0.12,0.00,-22.69,-1971.872,3.913,ERT72
,Mixed / non conventional,4.00,6.00,9.00,11.00,3259.10,0.13,0.00,59.24,-154.645,3.913,ERT72
,Mixed / non conventional,4.00,6.00,11.00,13.00,-55284.22,0.11,0.00,53.94,874.418,3.913,ERT72
,Mixed / non conventional,4.00,6.00,13.00,15.00,-101053.82,0.12,0.00,-58.54,726.521,3.913,ERT72
,Mixed / non conventional,4.00,6.00,15.00,17.00,329287.03,0.12,0.00,-111.09,-1274.749,3.913,ERT72
,Mixed / non conventional,4.00,6.00,17.00,19.00,-21404.35,0.10,0.00,71.61,49.717,3.913,ERT72
,Mixed / non conventional,4.00,6.00,19.00,21.00,-346466.75,0.11,0.00,-33.34,520.721,3.913,ERT72
,Mixed / non conventional,4.00,6.00,21.00,23.00,-409393.06,0.12,0.00,133.73,420.994,3.913,ERT72
,Mixed / non conventional,4.00,6.00,23.00,25.00,1154156.25,0.11,0.00,-189.73,-847.757,3.913,ERT72
,Mixed / non conventional,4.00,6.00,8.00,10.00,16069.45,0.42,0.00,-106.47,-864.969,2.029,ERT72
,Mixed / non conventional,4.00,6.00,10.00,12.00,-3735.86,0.47,0.00,120.03,50.273,2.029,ERT72
,Mixed / non conventional,4.00,6.00,12.00,14.00,-124679.48,0.41,0.00,-145.78,671.112,2.029,ERT72
,Mixed / non conventional,4.00,6.00,14.00,16.00,-20445.60,0.44,0.00,-39.11,55.026,2.029,ERT72
,Mixed / non conventional,4.00,6.00,16.00,18.00,418475.56,0.42,0.00,-22.36,-643.579,2.029,ERT72
,Mixed / non conventional,4.00,6.00,18.00,20.00,-125429.91,0.40,0.00,201.59,120.562,2.029,ERT72
,Mixed / non conventional,4.00,6.00,20.00,22.00,-507800.44,0.41,0.00,-23.64,325.398,2.029,ERT72
,Mixed / non conventional,4.00,6.00,22.00,24.00,-223075.80,0.43,0.00,-140.34,100.062,2.029,ERT72
,Mixed / non conventional,4.00,6.00,24.00,26.00,1382143.88,0.42,0.00,-13.36,-450.888,2.029,ERT72
,Mixed / non conventional,4.00,6.00,26.00,28.00,-427571.81,0.40,0.00,242.59,104.613,2.029,ERT72
,Mixed / non conventional,4.00,6.00,25.00,27.00,-197322.88,0.04,0.00,278.20,61.325,2.240,ERT72
,Mixed / non conventional,4.00,6.00,27.00,29.00,-794529.69,0.04,0.00,-126.32,187.663,2.240,ERT72
,Mixed / non conventional,4.00,6.00,29.00,31.00,-848703.81,0.05,0.00,-3.73,155.914,2.240,ERT72
,Mixed / non conventional,4.00,6.00,31.00,33.00,2328265.50,0.03,0.00,-71.53,-339.224,2.240,ERT72
,Mixed / non conventional,4.00,6.00,33.00,35.00,-536712.25,0.03,0.00,318.19,63.063,2.240,ERT72
,Mixed / non conventional,4.00,6.00,35.00,37.00,-1283914.50,0.03,0.00,-304.00,123.431,2.240,ERT72
