,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,11.00,3.00,990694.38,0.16,0.00,95.22,-84.996,1.103
,Mixed / non conventional,72.00,65.00,32.00,24.00,199409.06,0.14,0.00,-151.04,-50.956,0.920
,Mixed / non conventional,72.00,65.00,34.00,33.00,-673321.13,0.41,0.00,20.89,39.444,1.104
,Mixed / non conventional,72.00,65.00,33.00,25.00,410913.78,0.41,0.00,-28.80,-136.180,1.104
,Mixed / non conventional,72.00,65.00,36.00,35.00,-700374.38,0.23,0.00,144.48,48.861,1.100
,Mixed / non conventional,72.00,65.00,35.00,34.00,-676872.19,0.21,0.00,-345.11,43.119,1.100
,Mixed / non conventional,72.00,65.00,34.00,26.00,390163.66,0.22,0.00,-51.30,-139.308,1.100
,Mixed / non conventional,72.00,65.00,26.00,17.00,232966.56,0.20,0.00,69.65,-50.974,1.100
,Mixed / non conventional,72.00,65.00,38.00,37.00,-219993.03,0.15,0.00,-79.02,18.406,1.090
,Mixed / non conventional,72.00,65.00,37.00,36.00,-389402.13,0.13,0.00,92.25,29.572,1.090
,Mixed / non conventional,72.00,65.00,36.00,28.00,322788.03,0.09,0.00,71.99,-134.647,1.090
,Mixed / non conventional,72.00,65.00,28.00,19.00,263693.31,0.06,0.00,-236.20,-65.330,1.090
,Mixed / non conventional,72.00,65.00,19.00,11.00,740790.06,0.09,0.00,56.09,-95.859,1.090
,Mixed / non conventional,72.00,65.00,11.00,2.00,-389723.59,0.13,0.00,31.70,36.348,1.090
,Mixed / non conventional,72.00,65.00,42.00,41.00,-426298.88,0.09,0.00,47.24,50.925,1.019
,Mixed / non conventional,72.00,65.00,41.00,33.00,246795.97,0.09,0.00,-12.22,-152.134,1.019
,Mixed / non conventional,72.00,65.00,44.00,43.00,-318479.50,0.41,0.00,40.78,50.960,1.078
,Mixed / non conventional,72.00,65.00,43.00,42.00,-433960.94,0.40,0.00,-260.04,61.540,1.078
,Mixed / non conventional,72.00,65.00,42.00,34.00,202278.08,0.41,0.00,14.71,-145.797,1.078
,Mixed / non conventional,72.00,65.00,34.00,25.00,248562.63,0.41,0.00,-7.69,-94.590,1.078
,Mixed / non conventional,72.00,65.00,46.00,45.00,-171907.98,0.06,0.00,153.99,36.013,1.090
,Mixed / non conventional,72.00,65.00,45.00,44.00,-234991.22,0.06,0.00,13.39,43.157,1.090
,Mixed / non conventional,72.00,65.00,44.00,36.00,138390.83,0.03,0.00,-3.84,-124.889,1.090
,Mixed / non conventional,72.00,65.00,36.00,27.00,199050.94,0.04,0.00,52.95,-90.213,1.090
