,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,20.00,11.00,496675.38,0.05,0.00,-92.01,-755.718,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,3.00,1490198.38,0.08,0.00,-38.26,-1279.249,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,24.00,185046.94,0.14,0.00,-145.66,-46.973,0.913,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,33.00,-482605.63,0.10,0.00,15.75,46.652,1.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,33.00,25.00,294850.44,0.09,0.00,-71.71,-161.243,1.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,35.00,-527931.38,0.32,0.00,162.72,48.387,1.445,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,34.00,-555099.81,0.31,0.00,-289.12,46.457,1.445,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,26.00,291061.50,0.32,0.00,18.64,-136.532,1.445,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,17.00,240653.38,0.31,0.00,-61.69,-69.179,1.445,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,37.00,-75333.66,0.07,0.00,-98.55,50.165,8.673,MA72B65Rec
,Mixed / non conventional,72.00,65.00,37.00,36.00,-280393.84,0.00,0.00,80.12,169.477,8.673,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,28.00,237548.50,0.03,0.00,94.26,-788.675,8.673,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,19.00,302252.06,0.00,0.00,-178.58,-596.011,8.673,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,11.00,923833.63,0.03,0.00,74.03,-951.476,8.673,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,2.00,-281525.91,0.03,0.00,-32.43,208.982,8.673,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,41.00,-258569.83,0.29,0.00,-39.60,47.033,1.552,MA72B65Rec
,Mixed / non conventional,72.00,65.00,41.00,33.00,167471.42,0.28,0.00,2.24,-157.195,1.552,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,43.00,-247568.33,0.22,0.00,176.19,46.550,1.266,MA72B65Rec
,Mixed / non conventional,72.00,65.00,43.00,42.00,-332987.03,0.20,0.00,-172.86,55.490,1.266,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,34.00,143291.30,0.20,0.00,-54.87,-121.366,1.266,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,25.00,176767.20,0.19,0.00,-55.87,-79.047,1.266,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,45.00,-106185.66,0.39,0.00,89.58,46.776,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,45.00,44.00,-162864.72,0.38,0.00,-59.46,62.895,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,36.00,98284.16,0.39,0.00,75.94,-186.503,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,27.00,146658.91,0.39,0.00,76.08,-139.766,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,19.00,505277.22,0.39,0.00,-164.94,-225.397,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,10.00,230213.56,0.39,0.00,28.63,-68.758,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,3.00,2951640.00,0.38,0.00,1.96,-448.647,2.293,MA72B65Rec
,Mixed / non conventional,72.00,65.00,51.00,50.00,-159284.09,0.26,0.00,-166.17,96.664,1.468,MA72B65Rec
,Mixed / non conventional,72.00,65.00,50.00,49.00,-90914.81,0.26,0.00,-16.45,46.527,1.468,MA72B65Rec
