,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,3.00,5.00,27.00,29.00,-968152.69,0.12,0.00,-21.51,171.275,1.907
,Mixed / non conventional,3.00,5.00,29.00,31.00,-658545.75,0.11,0.00,15.46,91.538,1.907
,Mixed / non conventional,3.00,5.00,31.00,33.00,2713942.00,0.11,0.00,-120.14,-301.790,1.907
,Mixed / non conventional,3.00,5.00,33.00,35.00,-856567.13,0.12,0.00,169.60,77.390,1.907
,Mixed / non conventional,3.00,5.00,35.00,37.00,-1395093.00,0.10,0.00,-86.19,103.805,1.907
,Mixed / non conventional,3.00,5.00,37.00,39.00,-1242276.13,0.10,0.00,52.02,77.027,1.907
,Mixed / non conventional,3.00,5.00,39.00,41.00,3999463.50,0.12,0.00,-69.62,-208.830,1.907
,Mixed / non conventional,3.00,5.00,41.00,43.00,-1125518.00,0.12,0.00,45.48,49.953,1.907
,Mixed / non conventional,3.00,5.00,43.00,45.00,-1802147.50,0.12,0.00,73.01,68.557,1.907
,Mixed / non conventional,3.00,5.00,45.00,47.00,-1645231.00,0.09,0.00,-8.76,54.053,1.907
,Mixed / non conventional,3.00,5.00,44.00,46.00,-1863568.13,0.11,0.00,-95.86,144.177,4.178
,Mixed / non conventional,3.00,5.00,46.00,48.00,-1314304.75,0.10,0.00,37.95,88.123,4.178
,Mixed / non conventional,3.00,5.00,48.00,50.00,5552287.50,0.09,0.00,-35.69,-324.746,4.178
,Mixed / non conventional,3.00,5.00,50.00,52.00,-1910166.38,0.09,0.00,83.07,98.047,4.178
,Mixed / non conventional,3.00,5.00,52.00,54.00,-2234155.50,0.10,0.00,-11.76,101.185,4.178
,Mixed / non conventional,3.00,5.00,54.00,56.00,-1726789.25,0.11,0.00,26.97,69.350,4.178
,Mixed / non conventional,3.00,5.00,56.00,58.00,6672033.50,0.09,0.00,9.30,-238.729,4.178
,Mixed / non conventional,3.00,5.00,58.00,60.00,-2289331.50,0.12,0.00,65.06,73.294,4.178
,Mixed / non conventional,3.00,5.00,60.00,62.00,-2677243.25,0.09,0.00,27.89,76.993,4.178
,Mixed / non conventional,3.00,5.00,62.00,64.00,-1952588.13,0.12,0.00,-80.88,50.630,4.178
,Mixed / non conventional,3.00,5.00,47.00,49.00,5065174.50,0.06,0.00,-153.46,-397.137,5.235
,Mixed / non conventional,3.00,5.00,49.00,51.00,-1382783.25,0.03,0.00,142.02,94.867,5.235
,Mixed / non conventional,3.00,5.00,51.00,53.00,-2208761.00,0.07,0.00,-110.04,133.346,5.235
,Mixed / non conventional,3.00,5.00,53.00,55.00,-2194864.00,0.03,0.00,94.07,117.224,5.235
,Mixed / non conventional,3.00,5.00,55.00,57.00,6180371.00,0.07,0.00,-84.00,-293.388,5.235
,Mixed / non conventional,3.00,5.00,57.00,59.00,-1521311.38,0.10,0.00,216.89,64.484,5.235
,Mixed / non conventional,3.00,5.00,59.00,61.00,-2544618.25,0.08,0.00,-115.73,96.696,5.235
,Mixed / non conventional,3.00,5.00,61.00,63.00,-2572878.00,0.07,0.00,21.01,87.999,5.235
,Mixed / non conventional,3.00,5.00,63.00,65.00,7129960.00,0.07,0.00,136.73,-220.241,5.235
,Mixed / non conventional,3.00,5.00,65.00,67.00,-1818052.88,0.07,0.00,-93.41,50.900,5.235
,Mixed / non conventional,3.00,5.00,64.00,66.00,7718513.50,0.16,0.00,66.09,-245.988,5.675
,Mixed / non conventional,3.00,5.00,66.00,68.00,-2593492.25,0.13,0.00,30.67,75.015,5.675
,Mixed / non conventional,3.00,5.00,68.00,70.00,-3116324.00,0.22,0.00,-99.48,82.071,5.675
,Mixed / non conventional,3.00,5.00,70.00,72.00,-2120114.75,0.08,0.00,169.79,50.981,5.675
,Mixed / non conventional,3.00,5.00,72.00,2.00,4098.36,0.17,0.00,-42.60,-2469.330,5.675
,Mixed / non conventional,3.00,5.00,2.00,4.00,3940.05,0.19,0.00,345.41,2372.403,5.675
,Mixed / non conventional,3.00,5.00,67.00,69.00,-2975999.50,0.26,0.00,-14.90,58.927,4.073
,Mixed / non conventional,3.00,5.00,69.00,71.00,-2816568.75,0.23,0.00,30.88,50.848,4.073
,Mixed / non conventional,3.00,5.00,71.00,1.00,7250.11,0.23,0.00,49.82,-1176.975,4.073
,Mixed / non conventional,4.00,6.00,5.00,7.00,3322.65,0.08,0.00,-333.92,1347.954,3.823
,Mixed / non conventional,4.00,6.00,7.00,9.00,5660.97,0.09,0.00,-135.54,-1837.261,3.823
,Mixed / non conventional,4.00,6.00,9.00,11.00,1734.90,0.11,0.00,-47.29,-80.437,3.823
,Mixed / non conventional,4.00,6.00,11.00,13.00,-40398.59,0.10,0.00,60.46,624.348,3.823
,Mixed / non conventional,4.00,6.00,13.00,15.00,-99544.05,0.10,0.00,-35.84,699.284,3.823
,Mixed / non conventional,4.00,6.00,15.00,17.00,303469.25,0.09,0.00,-107.59,-1147.908,3.823
,Mixed / non conventional,4.00,6.00,17.00,19.00,-21713.86,0.10,0.00,-15.65,49.281,3.823
,Mixed / non conventional,4.00,6.00,19.00,21.00,-270392.53,0.10,0.00,50.38,397.083,3.823
,Mixed / non conventional,4.00,6.00,21.00,23.00,-400494.97,0.10,0.00,82.97,402.416,3.823
,Mixed / non conventional,4.00,6.00,23.00,25.00,1055404.50,0.10,0.00,-88.24,-757.475,3.823
,Mixed / non conventional,4.00,6.00,8.00,10.00,14206.61,0.06,0.00,-230.49,-761.584,2.021
,Mixed / non conventional,4.00,6.00,10.00,12.00,-3730.74,0.03,0.00,21.97,49.999,2.021
,Mixed / non conventional,4.00,6.00,12.00,14.00,-102717.55,0.05,0.00,-47.46,550.646,2.021
,Mixed / non conventional,4.00,6.00,14.00,16.00,-24464.90,0.11,0.00,-62.43,65.575,2.021
,Mixed / non conventional,4.00,6.00,16.00,18.00,383869.31,0.06,0.00,-57.59,-587.953,2.021
,Mixed / non conventional,4.00,6.00,18.00,20.00,-101012.73,0.09,0.00,188.42,96.697,2.021
,Mixed / non conventional,4.00,6.00,20.00,22.00,-431346.28,0.06,0.00,1.38,275.281,2.021
,Mixed / non conventional,4.00,6.00,22.00,24.00,-248507.11,0.00,0.00,-103.54,111.016,2.021
,Mixed / non conventional,4.00,6.00,24.00,26.00,1297135.13,0.06,0.00,2.44,-421.433,2.021
,Mixed / non conventional,4.00,6.00,26.00,28.00,-335163.94,0.00,0.00,128.38,81.670,2.021
,Mixed / non conventional,4.00,6.00,25.00,27.00,-161907.47,0.13,0.00,92.33,67.203,2.992
,Mixed / non conventional,4.00,6.00,27.00,29.00,-649798.31,0.12,0.00,-28.23,204.982,2.992
,Mixed / non conventional,4.00,6.00,29.00,31.00,-916066.44,0.07,0.00,9.77,224.762,2.992
,Mixed / non conventional,4.00,6.00,31.00,33.00,2200981.75,0.10,0.00,-107.55,-428.290,2.992
,Mixed / non conventional,4.00,6.00,33.00,35.00,-414989.94,0.13,0.00,167.44,65.124,2.992
,Mixed / non conventional,4.00,6.00,35.00,37.00,-1039371.31,0.09,0.00,-90.24,133.452,2.992
,Mixed / non conventional,4.00,6.00,37.00,39.00,-1454284.25,0.09,0.00,48.06,154.712,2.992
,Mixed / non conventional,4.00,6.00,39.00,41.00,3357187.00,0.11,0.00,-61.99,-299.240,2.992
,Mixed / non conventional,4.00,6.00,41.00,43.00,-661581.56,0.07,0.00,45.90,49.897,2.992
,Mixed / non conventional,4.00,6.00,43.00,45.00,-1442800.13,0.07,0.00,69.33,92.892,2.992
,Mixed / non conventional,4.00,6.00,28.00,30.00,-956725.88,0.20,0.00,-30.65,180.820,2.038
,Mixed / non conventional,4.00,6.00,30.00,32.00,-560626.88,0.08,0.00,-7.20,83.252,2.038
,Mixed / non conventional,4.00,6.00,32.00,34.00,2491690.00,0.19,0.00,-79.01,-296.010,2.038
,Mixed / non conventional,4.00,6.00,34.00,36.00,-652716.44,0.09,0.00,93.21,63.002,2.038
,Mixed / non conventional,4.00,6.00,36.00,38.00,-1367417.00,0.13,0.00,6.29,108.698,2.038
,Mixed / non conventional,4.00,6.00,38.00,40.00,-1179089.63,0.17,0.00,-3.44,78.105,2.038
