,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,51.00,50.00,-232369.58,0.29,0.00,-242.07,58.718,0.611
,Mixed / non conventional,72.00,65.00,50.00,49.00,-199517.55,0.27,0.00,-51.71,42.516,0.611
,Mixed / non conventional,72.00,65.00,49.00,41.00,112312.45,0.60,0.00,56.78,-35.806,0.208
,Mixed / non conventional,72.00,65.00,53.00,52.00,-93248.55,0.22,0.00,64.39,43.538,0.776
,Mixed / non conventional,72.00,65.00,55.00,47.00,9956.88,0.30,0.00,-14.44,-45.182,1.113
,Mixed / non conventional,72.00,65.00,47.00,40.00,48745.73,0.28,0.00,34.27,-58.755,1.113
,Mixed / non conventional,72.00,65.00,40.00,32.00,80942.88,0.05,0.00,-49.13,-141.306,3.182
,Mixed / non conventional,72.00,65.00,32.00,31.00,343584.81,0.04,0.00,3.78,-48.986,3.182
,Mixed / non conventional,72.00,65.00,31.00,24.00,159742.38,0.08,0.00,-168.61,-73.253,1.967
,Mixed / non conventional,72.00,65.00,24.00,23.00,980106.13,0.09,0.00,143.93,-47.733,1.967
,Mixed / non conventional,72.00,65.00,23.00,16.00,153586.83,0.16,0.00,-127.34,-47.808,2.300
,Mixed / non conventional,72.00,65.00,16.00,7.00,896229.63,0.17,0.00,39.18,-227.765,2.300
,Mixed / non conventional,72.00,65.00,59.00,58.00,-52384.52,0.43,0.00,-323.33,40.992,0.268
,Mixed / non conventional,72.00,65.00,58.00,57.00,-70785.72,0.43,0.00,-23.92,39.604,0.268
,Mixed / non conventional,72.00,65.00,57.00,49.00,45474.54,1.86,0.00,1.87,-36.455,0.128
,Mixed / non conventional,72.00,65.00,61.00,60.00,-10903.64,0.34,0.00,-59.73,42.155,0.573
,Mixed / non conventional,72.00,65.00,63.00,56.00,941.80,0.04,0.00,-161.91,-363.472,7.126
,Mixed / non conventional,72.00,65.00,56.00,55.00,-5731.33,0.05,0.00,40.36,48.328,7.126
