Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
,Mixed / non conventional,1,3,70,72,-1535437.5,0.1,0.0,168.66,45.33,7.611,5.955853370122192,,,-257793.595366438,-1535380.8537591165,65,-0.006002868443984362,-0.035645217476918845,5.938030761383732,0.0
,Mixed / non conventional,1,3,72,2,3308468.0,0.09,0.0,2.81,-1636.299,7.611,-214.99132834055973,,,-15390.662409933262,3308858.9555526725,66,-0.06271181039002598,-13.072592448911877,-208.45503211610378,0.0
,Mixed / non conventional,1,3,65,67,-1888990.0,0.07,0.0,-95.59,53.061,5.778,9.183281412253375,,,-205686.35421583112,-1888875.6734244055,67,-0.003463734780120217,-0.03175345844405264,9.16740468303135,0.0
,Mixed / non conventional,1,3,67,69,-2677291.75,0.07,0.0,-10.33,68.567,5.778,11.866908965039805,,,-225591.48526898434,-2677073.6189751555,68,-0.003137718632983373,-0.03717669636906784,11.848320616855272,0.0
,Mixed / non conventional,1,3,69,71,-2159426.0,0.07,0.0,38.88,50.566,5.778,8.75147109726549,,,-246740.68701293864,-2159343.990913163,69,-0.004448135040263326,-0.03884133948002244,8.732050427525479,0.0
,Mixed / non conventional,2,4,3,5,3997.24,0.12,0.0,-441.45,2141.089,5.048,424.1459984152139,,,9.424777960769378,3997.4818580122314,70,-0.01448939720519507,-6.1014169174166,421.0952899565056,0.0
,Mixed / non conventional,2,4,5,7,2226.16,0.08,0.0,7.89,-953.941,5.048,-188.97404912836768,,,-11.780972450961722,2226.2980667279867,71,-0.009185828520943632,-1.727946898251247,-188.11007567924207,0.0
,Mixed / non conventional,2,4,7,9,38591.93,0.06,0.0,-195.15,-2362.45,5.048,-467.99722662440564,,,-82.46680715673212,38594.23703792032,72,-0.004586449189435094,-2.1415344811667296,-466.92645938382225,0.0
,Mixed / non conventional,2,4,9,11,-68671.88,0.03,0.0,-41.09,1401.275,5.048,277.5901347068146,,,-247.400421470196,-68675.91632243441,73,0.000824187505662512,0.22888064100283145,277.70457502731597,0.0
,Mixed / non conventional,2,4,11,13,-103803.41,0.08,0.0,84.76,962.796,5.048,190.72820919175913,,,-544.2809272344314,-103809.72654865326,74,-0.006011329677991443,-1.1430943857417049,190.1566619988883,0.0
