Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
,Mixed / non conventional,1,3,5,7,2362.04,0.32,0.0,15.04,-162.551,2.594,-62.66422513492675,,,-37.699111843077524,2362.3856319213933,4979,0.021044616555775577,1.3327683895875921,-63.330609329720545,0.0,-61.9560213727908,-61.795009155001836,-1.66789
,Mixed / non conventional,1,3,9,11,-172322.05,0.31,0.0,-112.91,1185.884,2.594,457.16422513492677,,,-376.99111843077526,-172346.85254015477,4981,-0.0021090861465475922,-0.963183015951472,456.68263362695103,0.0,450.10974106041925,449.9325902865195,-1.2243
,Mixed / non conventional,1,3,11,13,-14261.59,0.33,0.0,53.93,49.073,2.594,18.917887432536624,,,-753.9822368615518,-14263.751083079002,4982,-0.01765093458170895,-0.33099718863418204,18.75238883821953,0.0,23.635018495684342,23.435664260479072,2.0109
,Mixed / non conventional,1,3,13,15,27341.38,0.3,0.0,-4.21,-53.759,2.594,-20.72436391673092,,,-1319.46891450771,27345.153961071697,4983,0.004603658389403387,0.09562801115822239,-20.77217792231003,0.0,-20.452938758734074,-20.525018152556743,-0.43066
,Mixed / non conventional,1,3,15,17,585541.25,0.31,0.0,-96.51,-719.565,2.594,-277.39591364687743,,,-2111.150263212339,585624.4561096325,4984,-0.007123951307966251,-1.9691409497269774,-276.41134317201397,0.0,-283.1405672009864,-281.87256103320544,-0.16312
,Mixed / non conventional,1,3,17,19,-641600.13,0.31,0.0,-29.22,525.639,2.594,202.63646877409408,,,-3166.7253948185225,-641694.0515832743,4985,0.0025450470023241547,0.5163764385685852,202.89465699337836,0.0,209.49609535552818,209.94684571666966,0.01817
,Mixed / non conventional,1,3,19,21,-297414.22,0.32,0.0,43.05,170.562,2.594,65.75250578257518,,,-4523.893421169273,-297457.32833518647,4986,0.00855154407856505,0.564699979860265,66.03485577250532,0.0,67.00246609124538,67.24914507234874,-0.71821
,Mixed / non conventional,1,3,21,23,16474.32,0.1,0.0,96.78,-20.742,7.832,-2.648365679264556,,,-6220.353454107836,16473.770600753924,4987,0.04370359989985853,0.11832881155347463,-2.7075300850412933,0.0,-4.589900535577659,-4.646524606903158,1.67142
,Mixed / non conventional,1,3,23,25,1557532.13,0.07,0.0,-62.71,-1470.792,7.832,-187.7926455566905,,,-8293.804605477077,1557515.508592804,4988,-0.018350849585459808,-3.414822148066264,-186.08523448265737,0.0,-195.63402193318032,-193.47639262970318,0.28709
,Mixed / non conventional,1,3,22,24,49111.91,0.24,0.0,-80.76,-52.724,7.738,-6.813646937193072,,,-7207.598945498374,49110.03447951101,4989,-0.024214752185138418,-0.163017063167878,-6.732138405609133,0.0,-7.20065695515567,-7.109783211420601,-0.6198
,Mixed / non conventional,1,3,24,26,1190720.63,0.26,0.0,-6.6,-971.507,7.738,-125.55014215559575,,,-9483.682823024179,1190677.7265892674,4990,-0.0071494438996309445,-0.8944164079662897,-125.10293395161261,0.0,-129.6035418451871,-128.9699843796701,-0.27336
,Mixed / non conventional,1,3,26,28,-1041729.94,0.26,0.0,117.57,661.074,7.738,85.43215301111397,,,-12193.306486745501,-1041700.4254870502,4991,0.003974077134282374,0.3401899363376373,85.6022479792828,0.0,92.00199942873465,91.98388539263746,0.12803
,Mixed / non conventional,1,3,28,30,-456242.13,0.26,0.0,-59.62,229.623,7.738,29.674722150426465,,,-15374.169048504882,-456224.1948080688,4992,-3.937541237988221e-05,-0.0011684314181970024,29.674137934717365,0.0,28.063410454155957,28.04720255026761,-1.19422
,Mixed / non conventional,1,3,30,32,-24356.07,0.21,0.0,40.5,9.886,7.738,1.2775911088136467,,,-19063.969620146378,-24355.958085392485,4993,-0.014336358990090028,-0.01818564679801793,1.2684982854146378,0.0,0.3305183837858906,0.3280411780745819,-2.87881
,Mixed / non conventional,1,3,32,34,2252946.75,0.03,0.0,-83.25,-475.577,4.918,-96.70130134200895,,,-23300.40731351191,2253179.7090154644,4994,-0.041732353267797805,-3.953087056294663,-94.72475781386161,0.0,-97.35078602052748,-95.30769228033674,-0.28082
,Mixed / non conventional,1,3,34,36,-1474334.0,0.03,0.0,89.02,257.861,4.918,52.432086213908086,,,-28121.181240446072,-1474452.1992360032,4995,0.0005025145456192963,0.02635450774139514,52.44526346777879,0.0,54.27404818833916,54.24152236406577,-0.32289
,Mixed / non conventional,1,3,36,38,-865438.56,0.03,0.0,18.21,126.822,4.918,25.78731191541277,,,-33563.99051278921,-865525.0924792504,4996,-0.0029705898362412855,-0.0764899165955022,25.74906695711502,0.0,25.36784991723377,25.346994867431473,-0.78727
,Mixed / non conventional,1,3,38,40,-406767.81,0.03,0.0,-1.42,50.437,4.918,10.255591703944692,,,-39666.53424238932,-406803.779500486,4997,0.00037220471944253474,0.003817890151250225,10.257500649020317,0.0,9.305683281221262,9.309748974322968,-1.26268
,Mixed / non conventional,1,3,40,42,3515079.75,0.0,0.0,-99.33,-372.067,4.918,-75.65412769418462,,,-46466.51154108182,3515383.3976323074,4998,-0.03416910984423966,-2.5416118914033348,-74.38332174848296,0.0,-75.44252345043222,-74.31556294638301,-0.39504
